#             eta             phi             dep             det     cap0     cap1     cap2     cap3      DetId
               -1               6               1              HB  3.77185  4.73426  2.97048  3.49447   42004086
               -2               6               1              HB  1.41257  2.03249  1.71469  1.38708   42004106
               -3               6               1              HB  3.44534  3.79078  3.66497  3.84951   42004186
               -4               6               1              HB  2.42369  2.82158  2.83729  2.68129   42004206
               -5               6               1              HB  2.83445  2.89019  3.33200  2.81873   42004286
               -6               6               1              HB  3.69812  4.74283  4.33092  4.13584   42004306
               -7               6               1              HB  3.05564  3.95375  3.99795  3.36848   42004386
               -8               6               1              HB  2.48688  2.69292  2.98951  2.71565   42004406
               -9               6               1              HB  3.28735  4.14244  4.50217  4.09003   42004486
              -10               6               1              HB  1.78120  2.10968  2.19037  1.83375   42004506
              -11               6               1              HB  2.76073  3.06173  2.97048  2.24607   42004586
              -12               6               1              HB  3.21362  3.10462  4.03600  3.17378   42004606
              -13               6               1              HB  1.46523  2.36699  2.74215  1.51307   42004686
              -14               6               1              HB  2.16037  2.83873  2.97999  2.05137   42004706
              -15               6               1              HB  1.69694  3.25900  2.44723  2.65838   42004786
              -15               6               2              HB  3.10830  3.16466  3.27492  3.79225   42008786
              -16               6               1              HB  2.10771  2.22976  2.42821  1.97119   42004806
              -16               6               2              HB  3.48747  3.92801  2.91340  3.26540   42008806
               -1               7               1              HB  1.26819  1.37121  1.58299  1.31768   42004087
               -2               7               1              HB  2.55911  2.65820  2.64819  2.10170   42004107
               -3               7               1              HB  3.65871  4.07854  3.93897  3.91097   42004187
               -4               7               1              HB  3.57638  3.82254  4.21520  3.51512   42004207
               -5               7               1              HB  4.13435  4.34261  4.16370  3.80899   42004287
               -6               7               1              HB  3.38165  3.32984  3.57854  3.22610   42004307
               -7               7               1              HB  2.71577  3.10886  3.05705  3.09164   42004387
               -8               7               1              HB  2.09376  2.47236  2.11619  2.48426   42004407
               -9               7               1              HB  4.63799  4.46197  4.60452  5.07241   42004487
              -10               7               1              HB  1.93761  2.24981  2.41403  2.23856   42004507
              -11               7               1              HB  3.71352  3.69596  4.06670  3.79271   42004587
              -12               7               1              HB  2.73141  1.90485  2.55051  2.19228   42004607
              -13               7               1              HB  4.05339  3.57716  4.13763  3.44694   42004687
              -14               7               1              HB  3.87747  4.00782  4.39291  3.85888   42004707
              -15               7               1              HB  3.92871  3.28780  3.68122  3.59350   42004787
              -15               7               2              HB  2.95643  3.08641  3.28952  2.96908   42008787
              -16               7               1              HB  2.36602  2.82256  3.08578  2.94122   42004807
              -16               7               2              HB  3.70022  3.45185  3.75435  3.21504   42008807
               -1               8               1              HB  2.29283  3.29975  2.40048  3.33619   42004088
               -2               8               1              HB  4.03991  4.01917  4.07464  3.89507   42004108
               -3               8               1              HB  4.38272  4.86426  4.75792  4.56783   42004188
               -4               8               1              HB  2.50675  3.33010  3.23350  3.07504   42004208
               -5               8               1              HB  3.91633  5.24073  5.00767  5.11081   42004288
               -6               8               1              HB  2.56000  2.67794  2.99672  2.56273   42004308
               -7               8               1              HB  2.81958  3.07206  3.19693  2.93181   42004388
               -8               8               1              HB  3.02506  2.92884  2.83546  2.85899   42004408
               -9               8               1              HB  3.17950  2.04089  3.04844  2.49833   42004488
              -10               8               1              HB  3.96213  4.23610  4.40442  4.22647   42004508
              -11               8               1              HB  4.06398  4.49384  4.57433  4.70261   42004588
              -12               8               1              HB  2.71123  2.55623  2.83566  2.71056   42004608
              -13               8               1              HB  2.11285  2.60149  2.03972  3.01473   42004688
              -14               8               1              HB  3.32607  3.11832  3.45095  3.26784   42004708
              -15               8               1              HB  4.13727  4.80122  4.23602  4.94758   42004788
              -15               8               2              HB  3.09945  3.47176  3.48628  3.45273   42008788
              -16               8               1              HB  2.78252  2.59897  3.38575  2.57100   42004808
              -16               8               2              HB  2.96521  3.56771  3.26409  3.43209   42008808
               -1               9               1              HB  2.59556  3.27099  3.05557  3.36919   42004089
               -2               9               1              HB  4.07232  3.45462  4.02299  3.23216   42004109
               -3               9               1              HB  3.74247  3.73528  4.09034  3.68660   42004189
               -4               9               1              HB  4.51123  5.06520  4.95805  4.75236   42004209
               -5               9               1              HB  3.03536  2.89717  3.04283  2.83105   42004289
               -6               9               1              HB  2.97420  2.87002  3.34226  2.94756   42004309
               -7               9               1              HB  3.20393  3.26742  3.39119  3.25096   42004389
               -8               9               1              HB  2.53074  2.83947  3.07329  2.61034   42004409
               -9               9               1              HB  3.55725  3.40400  3.38162  3.53865   42004489
              -10               9               1              HB  4.05889  3.73267  4.33428  3.61419   42004509
              -11               9               1              HB  3.85292  3.68211  3.90303  3.88770   42004589
              -12               9               1              HB  2.57729  1.66338  2.11429  1.87656   42004609
              -13               9               1              HB  2.85490  2.87401  3.41585  2.47381   42004689
              -14               9               1              HB  3.87706  3.91617  4.17422  3.86842   42004709
              -15               9               1              HB  4.39075  3.71440  3.83379  3.81820   42004789
              -15               9               2              HB  3.15807  3.27898  3.24737  3.03515   42008789
              -16               9               1              HB  3.95077  2.92364  4.02648  2.93657   42004809
              -16               9               2              HB  3.84394  3.45705  4.04615  3.33688   42008809
               -1              10               1              HB  3.66231  3.88944  4.25695  4.41514   4200408A
               -2              10               1              HB  2.34625  3.42277  3.00914  3.36434   4200410A
               -3              10               1              HB  3.69766  3.89602  3.65247  3.63706   4200418A
               -4              10               1              HB  1.52718  1.04517  1.54187  0.92892   4200420A
