#             eta             phi             dep             det     cap0     cap1     cap2     cap3      DetId
               -1               1               1              HB  4.50980  3.90196  4.36735  4.28571   42004081
               -2               1               1              HB  4.75238  4.49524  5.23478  4.51304   42004101
               -3               1               1              HB  4.42000  5.14141  4.90000  4.65766   42004181
               -4               1               1              HB  4.49315  4.15278  4.54167  4.39726   42004201
               -5               1               1              HB  5.04167  4.57143  4.56731  4.74510   42004281
               -6               1               1              HB  4.02041  4.13636  4.41176  4.12500   42004301
               -7               1               1              HB  3.75000  3.80000  4.16667  4.00000   42004381
               -8               1               1              HB  4.23077  3.67857  4.13793  3.77778   42004401
               -9               1               1              HB  4.60606  4.95876  4.94340  4.42593   42004481
              -10               1               1              HB  4.20833  5.07447  4.57692  4.80189   42004501
              -11               1               1              HB  5.93636  5.76577  5.94167  5.84874   42004581
              -12               1               1              HB  4.10345  4.57407  4.48387  4.69697   42004601
              -13               1               1              HB  4.28889  4.25000  4.16000  4.43137   42004681
              -14               1               1              HB  4.01562  4.72131  4.13115  4.56250   42004701
              -15               1               1              HB  4.05405  3.91176  4.60526  3.92683   42004781
              -15               1               2              HB  4.06061  4.26316  3.91892  4.03125   42008781
              -16               1               1              HB  3.50000  4.66667  3.66667  3.26667   42004801
              -16               1               2              HB  4.28571  4.60000  4.62338  4.00000   42008801
               -1               2               1              HB  4.83158  4.62500  4.73333  4.52083   42004082
               -2               2               1              HB  5.97619  3.82955  5.06593  3.81609   42004102
               -3               2               1              HB  5.16327  4.22000  4.99065  4.53333   42004182
               -4               2               1              HB  4.03125  4.67213  4.22951  4.84375   42004202
               -5               2               1              HB  4.14286  3.25000  4.00000  3.57143   42004282
               -6               2               1              HB  5.10000  5.17117  5.06667  5.36975   42004302
               -7               2               1              HB  4.99065  5.18518  5.07627  4.87179   42004382
               -8               2               1              HB  3.56164  4.28788  4.26389  5.13924   42004402
               -9               2               1              HB  3.75000  4.30769  3.84615  4.41667   42004482
              -10               2               1              HB  3.07692  4.08333  3.50000  3.92308   42004502
              -11               2               1              HB  5.04545  5.84685  5.54167  6.05042   42004582
              -12               2               1              HB  4.25000  4.69231  4.22222  4.60870   42004602
              -13               2               1              HB  5.10309  4.68932  4.66019  4.84536   42004682
              -14               2               1              HB  5.50000  4.54808  4.75248  4.19780   42004702
              -15               2               1              HB  4.46154  3.55556  4.45833  4.04348   42004782
              -15               2               2              HB  3.41667  4.72340  4.36538  4.30189   42008782
              -16               2               1              HB  3.29412  4.96970  3.75000  4.75676   42004802
              -16               2               2              HB  4.87097  3.78333  4.89655  4.46667   42008802
               -1               3               1              HB  3.87755  4.61111  4.30357  4.37255   42004083
               -2               3               1              HB  4.39437  4.28571  4.81013  4.18750   42004103
               -3               3               1              HB  4.26761  4.47059  4.18919  4.59740   42004183
