#             eta             phi             dep             det  sig_0_o  sig_1_0  sig_1_1  sig_2_0  sig_2_1  sig_2_2  sig_3_0  sig_3_1  sig_3_2  sig_3_3      DetId
               -1               1               1              HB  0.56660 -3.41880  0.56257 -2.95256 -3.62711  0.59611 -2.75941 -3.01464 -2.99751  0.59186   42004081
               -2               1               1              HB  0.54036  3.15711  0.48139  3.47805  3.17081  0.56068  3.09874  3.19852  3.18528  0.56869   42004101
               -3               1               1              HB  0.61063  1.53528  0.59458  2.87759  0.67909  0.57758  1.86694  0.22269  1.16761  0.60866   42004181
               -4               1               1              HB  0.58198 -1.48998  0.57684 -0.71236 -1.98756  0.65294 -2.11383 -2.29320 -2.68566  0.70712   42004201
               -5               1               1              HB  0.54359  4.33790  0.53659  4.56114  4.87756  0.52782  3.19701  3.91320  3.67476  0.56063   42004281
               -6               1               1              HB  0.56535  0.13702  0.56759  0.82355  0.79156  0.52699 -1.18569 -0.63349 -0.69356  0.49606   42004301
               -7               1               1              HB  0.53121  1.77376  0.55000  2.59335  2.52170  0.47613  2.09829  2.43203  2.92363  0.51896   42004381
               -8               1               1              HB  0.61185  4.77744  0.61417  4.84517  5.68405  0.54867  2.87201  4.08884  3.74683  0.58845   42004401
               -9               1               1              HB  0.59250 -3.94334  0.55158 -3.56197 -2.28757  0.53602 -3.92225 -2.87831 -2.66007  0.49583   42004481
              -10               1               1              HB  0.53848  2.11076  0.55342  4.34201  2.28718  0.57439  2.21451  0.38978  2.24816  0.57793   42004501
              -11               1               1              HB  0.66933 -3.14524  0.72245 -2.82975 -2.65700  0.71919 -3.41348 -2.78528 -2.72928  0.65596   42004581
              -12               1               1              HB  0.54089 -0.24212  0.53758 -0.41662  0.14330  0.51145 -0.81246  0.05328 -0.72844  0.49391   42004601
              -13               1               1              HB  0.65969 -0.98523  0.65766  2.08557  0.90002  0.56282 -0.36488 -0.65294  1.98740  0.66520   42004681
