#             eta             phi             dep             det  sig_0_o  sig_1_0  sig_1_1  sig_2_0  sig_2_1  sig_2_2  sig_3_0  sig_3_1  sig_3_2  sig_3_3      DetId
               -1               1               1              HB  0.44598 -3.91720  0.36294 -3.53495 -4.55687  0.59975 -3.42124 -3.62611 -3.49275  0.61224   42004081
               -2               1               1              HB  0.45297  6.37633  0.44045  7.06321  6.43839  0.45792  6.82224  6.81842  6.63547  0.49331   42004101
               -3               1               1              HB  0.52360  3.25310  0.58606  5.01922  1.83155  0.63545  3.95805  0.91308  2.63203  0.58550   42004181
               -4               1               1              HB  0.38694 -0.10918  0.54610  0.40045 -2.10768  0.58160 -1.44208 -2.98553 -3.20242  0.54081   42004201
               -5               1               1              HB  0.58160  7.95052  0.40816  8.02589  8.31623  0.45701  5.71013  7.07244  7.01327  0.54287   42004281
               -6               1               1              HB  0.38734  1.14490  0.66322  1.55820  2.18857  0.63437 -0.52608 -0.32948 -0.62525  0.50223   42004301
               -7               1               1              HB  0.18750  3.63759  0.56000  3.90651  4.34035  0.13889  3.43534  3.54379  5.15653  0.00000   42004381
               -8               1               1              HB  0.56213  8.43522  0.43240  7.51286  8.58204  0.73960  5.76739  6.43709  5.74935  0.69136   42004401
               -9               1               1              HB  0.52158 -5.89169  0.49314 -5.24813 -2.72234  0.41189 -5.99996 -3.02788 -2.81718  0.44822   42004481
              -10               1               1              HB  0.58160  5.12417  0.40935  8.03508  5.47327  0.51331  5.15230  2.27353  4.84784  0.61169   42004501
              -11               1               1              HB  0.67777 -5.33999  0.61180 -5.48309 -4.78809  0.48826 -5.30499 -4.65334 -4.79981  0.66620   42004581
              -12               1               1              HB  0.57551  2.45727  0.54081  1.59456  1.80808  0.54006  0.47094  2.26678  0.81853  0.69605   42004601
              -13               1               1              HB  0.60543 -0.57686  0.41477  2.69311  2.42464  0.61440  0.40245  0.39846  3.28368  0.67666   42004681
              -14               1               1              HB  0.42163  5.32127  0.52889  5.97596  5.11724  0.54018  5.09732  4.40215  5.06849  0.52734   42004701
              -15               1               1              HB  0.42951  5.88352  0.49221  6.28760  6.46743  0.65997  4.83472  5.18296  5.46318  0.50684   42004781
              -15               1               2              HB  0.78421  1.14889  0.45706  2.35494  2.32088  0.77721  0.94325  0.92411  2.66463  0.84277   42008781
              -16               1               1              HB  0.58333  0.20935  0.48889 -1.71489 -0.14605  0.66667 -1.08179 -0.10338 -0.97209  0.32889   42004801
              -16               1               2              HB  0.52154  6.21488  0.42462  7.73422  7.56224  0.33867  6.07573  5.43597  6.74405  0.45333   42008801
               -1               2               1              HB  0.66637 -1.78792  0.59976  0.03251 -0.83744  0.55746 -2.73056 -2.72851 -2.45477  0.62457   42004082
               -2               2               1              HB  0.45181  2.96681  0.77776  7.19200  3.63488  0.76488  3.82850  1.94223  4.13831  0.65583   42004102
               -3               2               1              HB  0.38151  4.90810  0.45160  5.19669  7.48436  0.40178  2.30608  5.20945  5.06726  0.47746   42004182
               -4               2               1              HB  0.56152 -4.34802  0.94168 -3.87773 -3.90685  0.63585 -4.84252 -5.08312 -4.00534  0.91309   42004202
               -5               2               1              HB  0.69388  1.46431  0.93750  3.57727  2.70379  0.50000  2.70890  2.44628  2.95976  1.24490   42004282
               -6               2               1              HB  0.32636 -3.57480  0.37611 -3.43967 -4.15231  0.49556 -5.44125 -6.15229 -5.87353  0.43472   42004302
               -7               2               1              HB  0.62608 -3.62515  0.55830 -2.89245 -1.50143  0.56198 -3.12399 -1.30391 -0.86758  0.53912   42004382
               -8               2               1              HB  0.60236  5.09082  0.62925  4.67166  5.74068  0.47203  4.50567  5.11498  3.98539  0.52492   42004402
               -9               2               1              HB  0.64583  2.27217  0.82840  2.44997  2.64789  0.66864  2.49850  2.77558  1.67772  0.70139   42004482
              -10               2               1              HB  0.68639  7.55063  0.90972  8.24410  9.52779  0.41667  6.99608  8.69813  7.52405  0.99408   42004502
              -11               2               1              HB  0.60702  0.75030  0.61618  0.19596 -0.25176  0.63160 -0.40582 -0.43400 -0.77658  0.56889   42004582
              -12               2               1              HB  0.56250  0.79724  0.49507 -0.58310 -1.42219  0.43951 -4.53277 -5.46567 -5.82230  0.52079   42004602
              -13               2               1              HB  0.58731 -1.34688  0.58309  0.98627  0.24315  0.69036 -0.83854 -0.26930  1.07907  0.58433   42004682
              -14               2               1              HB  0.37766  1.14619  0.38230  7.93547  4.30350  0.38428  2.75211  1.44801  5.75790  0.37846   42004702
              -15               2               1              HB  0.63314  1.90035  0.76543  5.19585  3.14121  0.49826  3.70599  2.80426  5.14562  0.30246   42004782
              -15               2               2              HB  0.78472  0.14561  0.92349  1.14815 -0.79571  0.92419  1.69257  0.68762  1.31373  0.89000   42008782
              -16               2               1              HB  0.85467 -0.85777  1.42332  0.66057 -0.01804  1.07639 -1.30247  0.44530 -0.88530  0.88678   42004802
              -16               2               2              HB  1.33819  4.29234  0.86972  5.40346  4.22836  0.71344  3.13296  4.23060  3.44734  0.78222   42008802
               -1               3               1              HB  0.43399 -5.22434  0.45988 -4.97856 -5.11563  0.46142 -6.36965 -6.40255 -6.81539  0.58670   42004083
               -2               3               1              HB  0.40786  8.83966  0.46122  8.62055  9.02942  0.40699  8.00593  8.73980  8.96396  0.42734   42004103
               -3               3               1              HB  0.44951  5.39857  0.33737  6.86833  5.94622  0.34259  5.88243  4.93362  6.31911  0.42233   42004183
               -4               3               1              HB  0.49440 -1.04499  0.54144 -0.57797  0.12019  0.61686 -0.61354 -0.10406 -0.22065  0.37245   42004203
               -5               3               1              HB  1.00000  4.79943  1.00000  5.32828  7.97980  0.22222  3.45286  1.60750  4.20760  0.66667   42004283
               -6               3               1              HB  0.62925 -0.45467  0.42090 -0.57534  0.20180  0.59735 -1.11018  0.51031 -0.15275  0.49712   42004303
               -7               3               1              HB  0.46626  7.43855  0.44747  8.72749  6.42259  0.44772  7.74885  5.87925  6.87932  0.48567   42004383
               -8               3               1              HB  0.51446  6.26782  0.47238  5.80664  5.68316  0.47567  5.11798  5.24979  4.63398  0.48068   42004403
               -9               3               1              HB  0.46683  7.58870  0.42667  8.83504  8.16686  0.40692  6.95079  6.59526  7.53004  0.32484   42004483
              -10               3               1              HB  0.49180  9.56515  0.48571 11.75432 11.72346  0.50183  8.66540  8.96558 11.13687  0.51817   42004503
              -11               3               1              HB  0.34750  8.59217  0.62750  9.25796  9.02276  0.82240  7.58923  8.18575  7.65016  0.40640   42004583
              -12               3               1              HB  0.66667  2.70735  0.99654  5.01965  4.95749  0.39000  3.29406  3.97600  5.23987  0.58333   42004603
              -13               3               1              HB  0.25000 -5.57827  0.25000 -6.46099 -6.50647  0.22222 -5.62579 -5.75799 -7.18523  0.22222   42004683
              -14               3               1              HB  0.37543  6.95516  0.31379  6.99012  6.64698  0.38510  4.40779  4.31371  4.33971  0.45340   42004703
              -15               3               1              HB  0.49826 17.00315  0.85714 15.29426 14.60073  0.60080 14.92028 15.28748 12.78502  0.51499   42004783
              -15               3               2              HB  0.51812  1.20745  0.41157  0.70572  2.05296  0.54167 -0.22855  1.03251 -0.14241  0.42077   42008783
              -16               3               1              HB  0.73959 -0.14246  0.50743  1.09692 -0.70969  0.68826  1.61867  0.12326  0.74446  0.63159   42004803
              -16               3               2              HB  0.25000 11.14005  1.00000 13.00315 13.15524  0.00000 11.99053  9.92818 11.73500  0.22222   42008803
               -1               4               1              HB  0.57551  0.72055  0.68587  1.99044  1.28027  0.68639  0.68557  0.89730  1.59235  0.53444   42004084
               -2               4               1              HB  0.75000  7.65022  0.50340  8.15594  7.18488  0.80726  5.82251  6.05088  5.96473  0.80556   42004104
               -3               4               1              HB  0.49609  6.17993  0.46514  6.94139  6.98922  0.43159  5.55135  5.92755  6.29736  0.43772   42004184
               -4               4               1              HB  0.70990  4.22676  0.51640  4.42852  5.43824  0.66975  1.18929  2.75857  2.11903  0.76364   42004204
               -5               4               1              HB  0.40104  9.58341  0.37760  8.50947 10.18945  0.44329  8.52964 11.51297  9.45887  0.59556   42004284
               -6               4               1              HB  0.22222  5.40407  1.22222  4.49382  3.38319  0.88889  3.72631  4.28364  4.08171  0.22222   42004304
               -7               4               1              HB  0.37870  0.34865  0.61538  1.07984  0.93361  0.50000  0.04802  0.43622  0.40560  0.63889   42004384
               -8               4               1              HB  0.57528  3.42888  0.58224  3.21753  4.13900  0.53587  3.27216  4.55850  3.84272  0.59563   42004404
               -9               4               1              HB  0.47366  0.50608  0.44429  0.03116 -1.36165  0.37518  0.27791 -0.18732 -1.33220  0.39027   42004484
              -10               4               1              HB  0.50794  3.70877  0.63776  3.98991  4.20986  0.78472  3.05945  3.79129  3.55655  0.64486   42004504
              -11               4               1              HB  0.48859  4.36465  0.46718  5.19028  4.83623  0.40227  5.31872  5.42831  5.24709  0.62543   42004584
              -12               4               1              HB  0.67730 -1.04773  0.69565 -0.84775 -0.14508  0.47188 -0.90738 -2.09531 -1.98772  0.44434   42004604
              -13               4               1              HB  0.66728  1.38115  0.44987  1.91043  1.89746  0.37390  0.38361  1.33371  0.89996  0.71002   42004684
              -14               4               1              HB  0.54729  6.10278  0.43265  6.49236  6.55881  0.56236  5.53973  5.36536  6.33976  0.49937   42004704
              -15               4               1              HB  0.74117  4.62844  0.58526  5.99593  6.76190  0.59124  5.13127  6.21256  7.24868  0.62731   42004784
              -15               4               2              HB  0.43757  3.48873  0.47461  4.44882  3.73289  0.47060  1.98096  1.79233  2.89965  0.43890   42008784
              -16               4               1              HB  0.56213 -0.17604  0.48813 -0.61559 -0.74995  0.41865 -1.37567 -1.43355 -1.43551  0.52551   42004804
              -16               4               2              HB  0.48170 19.73179  0.43462 19.60793 20.55954  0.58383 18.26895 19.10757 18.07397  0.59259   42008804
               -1               5               1              HB  0.38563 -3.81330  0.54545 -1.97497 -3.32668  0.54321 -2.98647 -4.85365 -3.98992  0.70918   42004085
               -2               5               1              HB  0.47485  4.47440  0.57648  4.02051  6.91477  0.45898  4.72486  6.11890  5.30673  0.47222   42004105
               -3               5               1              HB  0.35401  7.94261  0.32396  8.10694  8.18680  0.41766  5.80856  6.85644  6.90359  0.35910   42004185
               -4               5               1              HB  0.62665  4.99549  0.43639  6.04243  5.81638  0.47444  4.27452  4.50414  4.87718  0.50050   42004205
               -5               5               1              HB  0.55955  9.36696  0.71456  9.57567  7.15088  0.58884  7.77337  6.28288  6.49288  0.65289   42004285
               -6               5               1              HB  0.58163 -1.04987  0.49031  2.15430 -3.32033  0.49093  2.09702 -2.28894  0.11367  0.56839   42004305
               -7               5               1              HB  0.37619 -0.78197  0.44830 -1.04069 -0.33261  0.39697  0.71054  1.03807  0.97429  0.38003   42004385
               -8               5               1              HB  0.55629 13.22120  0.44993 11.42616 14.19127  0.54770 10.61824 14.19066 11.37789  0.46455   42004405
               -9               5               1              HB  0.53388  0.85408  0.48176  1.92639  3.56403  0.45868  0.08865  1.98092  3.08437  0.54355   42004485
              -10               5               1              HB  0.60800  6.14523  0.62666  6.78223  5.76724  0.50284  6.00236  5.75226  5.66566  0.66931   42004505
              -11               5               1              HB  0.32564  8.47220  0.36562 10.51583 10.50631  0.42093  6.30870  7.34618  8.39227  0.44306   42004585
              -12               5               1              HB  0.16000 -5.94044  0.56000 -5.48115 -4.82567  0.64000 -6.81562 -6.10527 -4.37189  0.56000   42004605
              -13               5               1              HB  0.46521  0.15400  0.51522  1.49309  0.07834  0.52639  0.83085 -0.37240  0.69446  0.57086   42004685
              -14               5               1              HB  0.68750  8.10766  0.65622  6.25662  6.28850  0.43519  5.10333  5.81034  3.08560  0.60204   42004705
              -15               5               1              HB  0.44276 -1.02964  0.36890 -0.76119 -1.80235  0.40997  0.64666 -0.16077 -0.34512  0.39579   42004785
              -15               5               2              HB  0.72901 -9.38174  0.69881 -9.84694 -7.15318  0.68326 -9.75974 -7.86792 -8.20523  0.67410   42008785
              -16               5               1              HB  0.36344 -1.16870  0.55922 -1.57760 -2.52852  0.48521 -1.19103 -2.40600 -2.54499  0.63129   42004805
              -16               5               2              HB  0.72222 -0.88468  0.61283  0.50836 -0.40535  0.40763 -1.23281 -0.76225 -0.20931  0.63511   42008805
               -1               6               1              HB  0.39024  2.42769  0.32395  2.84380  4.37840  0.57180  0.64384  2.39243  2.82121  0.45000   42004086
               -2               6               1              HB  0.63314  0.98134  0.68595  2.22048  4.60170  0.41493 -0.48740  1.23273  2.00789  0.82015   42004106
               -3               6               1              HB  0.45938  2.81464  0.35316  3.70966  4.84478  0.40782  1.35677  2.27161  3.69968  0.42311   42004186
               -4               6               1              HB  0.66667  2.52757  0.68750  4.99344  2.25756  0.68750 -0.19167  1.48468  3.05421  0.13889   42004206
               -5               6               1              HB  0.63194  2.46936  0.55556  3.49311  4.10018  0.49836  0.74661  1.92962  2.31885  0.40763   42004286
               -6               6               1              HB  0.60529  4.20950  0.53669  4.99840  6.79619  0.48643  1.71789  2.59432  4.25286  0.37578   42004306
               -7               6               1              HB  0.62750  1.61036  1.28028  3.06347  4.04136  0.51000 -0.29409  1.88615  2.67149  0.43478   42004386
               -8               6               1              HB  0.37769  3.19857  0.40059  4.25902  6.11713  0.57391  1.53891  3.53571  4.08775  0.46260   42004406
               -9               6               1              HB  0.42832  2.23867  0.53639  3.94816  5.03400  0.46870  0.56370  1.92097  3.73145  0.43694   42004486
              -10               6               1              HB  0.66667  2.62188  0.92033  3.15321  4.06055  0.48669  0.31456  1.24709  2.26863  0.77419   42004506
              -11               6               1              HB  0.41000  2.55393  0.09000  3.19984  4.23444  0.16000 -0.34964  1.17178  2.24302  0.84000   42004586
              -12               6               1              HB  0.68973  2.15217  0.70790  4.06760  4.76949  0.59259  0.25679  1.31315  2.67465  0.48261   42004606
              -13               6               1              HB  0.47030  2.49532  0.39506  4.18023  5.24471  0.50493  0.13584  0.95258  1.73872  0.44271   42004686
              -14               6               1              HB  0.54488  3.28167  0.50190  4.49857  5.99220  0.56249  0.73191  2.29071  2.87947  0.49889   42004706
              -15               6               1              HB  0.53948  2.85099  0.50160  4.24570  5.84058  0.56962  0.82977  2.94813  3.36645  0.52299   42004786
              -15               6               2              HB  0.58729  4.66949  0.42889  6.41300  6.84085  0.63018  2.31038  3.50050  4.59695  0.55901   42008786
              -16               6               1              HB  0.42212  2.60207  0.56992  4.12243  4.94435  0.44321  0.83009  1.90575  2.48787  0.43639   42004806
              -16               6               2              HB  0.73744  4.63120  0.50306  5.77780  7.24011  0.58315  2.07730  3.52789  5.15977  0.72364   42008806
               -1               7               1              HB  0.56000 -6.05867  0.25000 -6.45329 -6.95376  0.64000 -7.48310 -7.63554 -9.33051  0.00000   42004087
               -2               7               1              HB  0.19464  6.13777  0.40443  8.12345  8.38911  0.56404  5.26232  5.79164  7.11458  0.40234   42004107
               -3               7               1              HB  0.41219  4.94948  0.48000  5.40643  5.03920  0.52299  4.07979  4.22985  4.05767  0.50877   42004187
               -4               7               1              HB  0.62082  0.30533  0.47396 -1.14689  2.39233  0.43579 -1.17454  2.34854  0.84305  0.50300   42004207
               -5               7               1              HB  0.42667 11.05009  0.46023 10.71358  9.87672  0.37728  9.38195  8.06537  7.80954  0.47259   42004287
               -6               7               1              HB  0.44828 -2.32309  0.56293 -2.32983 -2.82112  0.57573 -5.09469 -5.53589 -6.57248  0.59491   42004307
               -7               7               1              HB  0.52237  2.04034  0.66869  2.84428  2.00235  0.47405  0.78815  1.79380  1.30222  0.64100   42004387
               -8               7               1              HB  0.49321  2.86482  0.54293  1.32841  2.66773  0.54907  2.43187  5.09761  2.57189  0.37160   42004407
               -9               7               1              HB  0.58778  1.63854  0.46639  2.00143  1.32152  0.45350  1.76598  1.60031  2.25866  0.56603   42004487
              -10               7               1              HB  0.63039  6.94002  0.38580  8.52833  6.54843  0.58726  6.64650  5.35440  7.02370  0.32231   42004507
              -11               7               1              HB  0.45497  9.24855  0.42399  6.42812  8.39206  0.47744  8.11940  9.78504  6.69153  0.49872   42004587
              -12               7               1              HB  0.48967 -2.48181  0.52066 -1.08306 -1.84961  0.49691 -2.24218 -2.52737 -2.38388  1.09877   42004607
              -13               7               1              HB  0.42067  1.38366  0.47220  2.19642  2.15750  0.50476 -0.16294  0.41415  0.55544  0.35279   42004687
              -14               7               1              HB  0.63194  1.05773  0.61816  0.61988  1.47324  0.44371  1.11265  2.09543  1.46772  0.50712   42004707
              -15               7               1              HB  0.55992  1.76354  0.50992  2.28154  2.32146  0.43272  0.67707  1.96281  1.75645  0.47496   42004787
              -15               7               2              HB  0.47145  3.11988  0.34602  4.32387  2.64008  0.47840  1.29660 -0.17643  0.70929  0.55556   42008787
              -16               7               1              HB  0.48508 -3.32362  0.45293 -3.98127 -0.78091  0.47203 -5.28161 -1.54486 -2.10486  0.41869   42004807
              -16               7               2              HB  0.85937  9.19354  0.64750  8.27947 10.02288  0.53186  7.95709  8.27233  7.98253  0.51556   42008807
               -1               8               1              HB  0.45408  1.49337  0.33910 -0.79346  1.88585  0.57143  0.14089  5.04767  0.76179  0.54321   42004088
               -2               8               1              HB  0.43339  2.67153  0.39120  1.41619  1.78684  0.45826  0.56516  0.68462 -0.19392  0.46310   42004108
               -3               8               1              HB  0.46289 -3.67323  0.55726 -3.51362 -2.43809  0.53326 -4.28213 -2.68417 -3.38684  0.53330   42004188
               -4               8               1              HB  0.49947 -1.60766  0.50108 -2.50594 -1.68463  0.54917 -3.33012 -2.09183 -2.96835  0.56283   42004208
               -5               8               1              HB  0.42435  9.87067  0.49310 11.09707 12.04406  0.60444  9.13484 10.37984 10.85094  0.50744   42004288
               -6               8               1              HB  0.47837 -0.18943  0.40874  3.64934  2.37669  0.50122 -0.06400 -0.25381  3.11256  0.46380   42004308
               -7               8               1              HB  0.25000  4.85148  2.25000  5.73594  3.85714  0.22222  5.29133  4.16862  5.23284  0.00000   42004388
               -8               8               1              HB  0.46154  2.97305  0.55621  1.82122  1.23206  0.33333  1.78506  2.45072  0.21641  0.80556   42004408
               -9               8               1              HB  0.34877 -0.69594  0.58726  1.59494 -3.25216  0.59516 -0.03107 -3.23223 -1.52246  0.37109   42004488
              -10               8               1              HB  0.72694  5.30879  0.46814  7.46648  4.38045  0.49556  4.80032  1.90956  3.72125  0.67227   42004508
              -11               8               1              HB  0.37099  8.63713  0.84694 10.88612 10.56668  0.78395  8.77196  7.04853  9.41733  0.61505   42004588
              -12               8               1              HB  0.56346  1.10270  0.57937  1.81872  0.11387  0.57857  0.74617 -0.07691  0.22530  0.48938   42004608
              -13               8               1              HB  0.60770 -2.39557  0.50122 -3.91952 -3.73858  0.47837 -3.28338 -2.26722 -3.52457  0.15667   42004688
              -14               8               1              HB  0.37559  4.73304  0.48915  4.57808  6.16515  0.40028  3.52016  5.97537  5.22281  0.42747   42004708
              -15               8               1              HB  0.42067 13.69949  0.57598 13.94078 14.76179  0.52765 12.27928 13.57614 13.98521  0.45104   42004788
              -15               8               2              HB  0.49219  2.82207  0.46120  1.70381  1.72418  0.49121  1.03495  1.81142 -0.10965  0.45312   42008788
              -16               8               1              HB  0.44658 -4.43946  0.50325 -2.70290 -3.99660  0.46414 -5.37648 -6.14336 -4.76923  0.35609   42004808
              -16               8               2              HB  0.61678  9.38830  0.59259 10.81607  9.01195  0.46373  9.67491  9.56022  9.94103  0.33270   42008808
               -1               9               1              HB  0.45444 -0.58552  0.41427  0.45115  1.19266  0.63832 -1.85795 -0.65451 -0.35156  0.40274   42004089
               -2               9               1              HB  0.46282  6.32732  0.32426  6.20755  6.64010  0.46154  5.35581  6.62007  6.13195  0.41620   42004109
               -3               9               1              HB  0.41322  9.27508  0.32889  9.31966  9.66084  0.35939  9.04185  9.51216  9.04427  0.26000   42004189
