#             eta             phi             dep             det  sig_0_o  sig_1_0  sig_1_1  sig_2_0  sig_2_1  sig_2_2  sig_3_0  sig_3_1  sig_3_2  sig_3_3      DetId
               -1               1               1              HB  0.60229 -3.43035  0.61358 -2.97878 -3.60842  0.55809 -2.77775 -3.11432 -3.04405  0.61844   42004081
               -2               1               1              HB  0.52233  3.19193  0.47348  3.48508  3.27117  0.49719  3.14815  3.30747  3.22217  0.49286   42004101
               -3               1               1              HB  0.56533  1.58537  0.56774  2.89674  0.65977  0.58781  1.90195  0.29727  1.11468  0.57196   42004181
               -4               1               1              HB  0.61792 -1.41550  0.60056 -0.82122 -1.96871  0.58072 -1.97904 -2.22132 -2.59521  0.61585   42004201
               -5               1               1              HB  0.54653  4.31046  0.52426  4.51851  4.87836  0.53846  3.17030  3.97000  3.84602  0.54831   42004281
               -6               1               1              HB  0.54453  0.21855  0.53304  0.79016  0.78846  0.55032 -1.16277 -0.71737 -0.73122  0.52100   42004301
               -7               1               1              HB  0.50387  1.66685  0.51435  2.59417  2.57730  0.49302  2.14846  2.54046  3.01424  0.48736   42004381
               -8               1               1              HB  0.57333  4.85938  0.53546  4.71962  5.72741  0.55234  2.94549  4.28516  3.77281  0.54994   42004401
               -9               1               1              HB  0.58052 -4.08600  0.60645 -3.65406 -2.35833  0.61216 -3.91763 -2.85055 -2.79600  0.57477   42004481
              -10               1               1              HB  0.59114  2.25575  0.55234  4.27604  2.38558  0.57056  2.08671  0.30861  2.21654  0.56975   42004501
              -11               1               1              HB  0.71139 -3.23637  0.70181 -2.84164 -2.67227  0.68870 -3.46225 -2.71327 -2.84654  0.70254   42004581
              -12               1               1              HB  0.53554 -0.14809  0.52204 -0.37647  0.09872  0.51328 -0.85739  0.04201 -0.72845  0.51130   42004601
              -13               1               1              HB  0.63739 -0.89090  0.62328  2.03146  0.87655  0.57414 -0.27510 -0.74211  2.06535  0.64354   42004681
              -14               1               1              HB  0.49540  2.99990  0.50961  4.09153  3.20353  0.50174  3.08506  2.37060  3.28439  0.49496   42004701
              -15               1               1              HB  0.55232  3.80713  0.55688  4.45973  4.39293  0.55644  3.12070  3.50572  3.62187  0.59783   42004781
              -15               1               2              HB  0.59572 -0.12093  0.62443  1.30587  1.20419  0.61454  0.21631  0.49276  1.49020  0.59219   42008781
              -16               1               1              HB  0.51390 -0.43754  0.49797 -1.19906 -0.44046  0.53634 -1.12280 -0.01686 -1.03793  0.48293   42004801
              -16               1               2              HB  0.64665  3.78742  0.59253  4.85307  4.61558  0.62101  3.51512  3.79990  4.36381  0.60105   42008801
               -1               2               1              HB  0.62568 -1.83359  0.59671 -0.78531 -1.56044  0.60378 -2.54020 -2.53482 -2.40329  0.60112   42004082
               -2               2               1              HB  0.96197  0.95582  1.01290  4.01956  1.65811  0.91263  0.86158  0.53308  1.26437  0.92604   42004102
               -3               2               1              HB  0.53333  2.22046  0.55486  2.24469  3.83991  0.52704  0.57515  2.26873  2.14856  0.53782   42004182
               -4               2               1              HB  0.69084 -3.06495  0.73278 -2.24158 -2.49795  0.68211 -3.37250 -3.21505 -2.71436  0.66698   42004202
               -5               2               1              HB  0.61089  0.84779  0.68288  3.16129  1.24772  0.63411  1.94773  1.02428  2.39520  0.67141   42004282
               -6               2               1              HB  0.48174 -3.10601  0.49393 -2.75515 -3.36144  0.49084 -3.78642 -3.94611 -4.07463  0.48502   42004302
               -7               2               1              HB  0.57047 -3.24697  0.56529 -2.60133 -2.21387  0.58183 -2.82450 -1.97767 -1.86933  0.56366   42004382
               -8               2               1              HB  0.54176  3.24146  0.54514  2.90399  3.71949  0.51493  2.54329  3.67118  2.76820  0.51484   42004402
               -9               2               1              HB  0.58896  1.16174  0.56896  1.30468  1.67718  0.58526  0.47914  1.29793  0.93112  0.60475   42004482
              -10               2               1              HB  0.66409  5.87247  0.62861  4.92599  6.08862  0.63571  5.99428  7.74582  5.95986  0.62529   42004502
              -11               2               1              HB  0.63805 -1.29154  0.61993 -1.17426 -1.77674  0.60137 -1.67330 -1.87442 -2.31285  0.60860   42004582
              -12               2               1              HB  0.52817 -0.46508  0.50043 -0.85460 -1.54276  0.50034 -3.03417 -3.76725 -3.69118  0.51037   42004602
              -13               2               1              HB  0.67317 -2.02687  0.68151 -0.45482 -0.82492  0.66226 -1.75440 -1.40488 -0.54289  0.65769   42004682
              -14               2               1              HB  0.52223 -0.27836  0.50817  4.09057  1.65463  0.51435  0.81147 -0.12555  2.42594  0.53012   42004702
              -15               2               1              HB  0.66989  0.93971  0.65532  3.58914  2.02864  0.61994  1.86466  1.33737  3.00887  0.63772   42004782
              -15               2               2              HB  0.86246 -0.33931  0.92556  0.50210 -0.97718  0.86768  0.69595 -0.00662  0.33837  0.83645   42008782
              -16               2               1              HB  0.87264 -1.01390  0.93424 -0.19588 -0.11583  0.83279 -1.38265 -1.06711 -0.57522  0.88145   42004802
              -16               2               2              HB  1.21882  1.45402  1.23757  2.76124  1.69415  1.19917  1.27050  1.78994  1.29283  1.26284   42008802
               -1               3               1              HB  0.54194 -3.98171  0.51315 -3.79104 -3.66653  0.53015 -4.87594 -4.74939 -4.85518  0.53421   42004083
               -2               3               1              HB  0.43997  5.29709  0.45619  5.60762  5.84165  0.46907  4.99660  5.53770  5.58604  0.45148   42004103
               -3               3               1              HB  0.39402  3.34805  0.41553  4.68496  3.68307  0.39909  3.70356  2.85570  4.05299  0.42251   42004183
               -4               3               1              HB  0.49129 -1.19379  0.48719 -0.96250 -0.43835  0.48226 -1.07276 -0.13966 -0.25609  0.52269   42004203
               -5               3               1              HB  0.46345  4.91962  0.48481  6.23884  4.61002  0.47023  4.70560  3.45639  4.34021  0.44724   42004283
               -6               3               1              HB  0.53416 -0.87038  0.50250 -0.85253 -0.02215  0.51467 -1.10950 -0.05857 -0.32086  0.52397   42004303
               -7               3               1              HB  0.47830  7.47061  0.47146  8.72837  6.47054  0.46510  7.72683  5.87476  6.88097  0.49923   42004383
               -8               3               1              HB  0.48656  6.25385  0.47794  5.80896  5.64677  0.50148  5.18026  5.31304  4.63520  0.51272   42004403
               -9               3               1              HB  0.47083  3.95730  0.46017  4.91073  4.46308  0.44523  3.47133  3.31752  3.99560  0.45081   42004483
              -10               3               1              HB  0.51198  7.78475  0.50537  9.77711  9.80874  0.53149  7.18272  7.41651  9.29781  0.48786   42004503
              -11               3               1              HB  0.52229  5.81453  0.52351  6.27425  6.02881  0.50210  5.42265  5.60477  5.72359  0.49880   42004583
              -12               3               1              HB  0.52500  1.86203  0.49911  3.25547  3.16994  0.52931  2.14939  2.45945  3.39948  0.51008   42004603
              -13               3               1              HB  0.58793 -4.13788  0.60673 -4.57567 -5.21892  0.60689 -4.15451 -4.33578 -5.20680  0.60029   42004683
              -14               3               1              HB  0.51435  3.51768  0.50512  3.77261  3.45736  0.54060  2.24760  2.22179  1.86504  0.50592   42004703
              -15               3               1              HB  0.63233 12.35322  0.60725 11.26660 10.66803  0.62017 10.85865 10.75376  9.41845  0.63892   42004783
              -15               3               2              HB  0.58405 -0.03797  0.54410 -0.25330  0.32368  0.57075 -0.93451 -0.03611 -0.62481  0.54874   42008783
              -16               3               1              HB  0.58976 -0.28230  0.62016  0.61394 -0.45054  0.59126  0.55320  0.03685  0.54919  0.62000   42004803
              -16               3               2              HB  0.58843  9.74580  0.56993 10.71763  9.71152  0.55728  9.05331  8.19766  9.06921  0.58871   42008803
               -1               4               1              HB  0.56406  0.00576  0.56780  0.70801  0.91465  0.55634  0.13835  0.75887  0.99669  0.55601   42004084
               -2               4               1              HB  0.52435  5.73727  0.50899  6.88406  6.08916  0.53002  4.67384  4.02591  4.98780  0.54158   42004104
               -3               4               1              HB  0.45678  3.48869  0.44546  4.15090  4.34616  0.43903  3.09791  3.60363  3.92436  0.44682   42004184
               -4               4               1              HB  0.62975  1.42359  0.66441  1.53747  2.43181  0.65610 -0.26592  0.64869  0.25019  0.68809   42004204
               -5               4               1              HB  0.51952  5.85645  0.52832  5.30750  6.56300  0.49816  5.20588  6.80495  5.74490  0.52529   42004284
               -6               4               1              HB  0.53152  3.89673  0.53472  4.20482  3.59813  0.54058  3.55154  3.26980  3.25065  0.54470   42004304
               -7               4               1              HB  0.51273 -0.21286  0.51543  0.26597 -0.09045  0.50780 -0.30057 -0.30969 -0.24759  0.50078   42004384
               -8               4               1              HB  0.82655  1.10741  0.91814  1.27355  1.59192  0.91160  1.22892  2.15692  1.51682  0.92351   42004404
               -9               4               1              HB  0.46842 -0.51554  0.48017 -0.87432 -1.59019  0.45195 -0.62763 -1.07568 -1.64558  0.45345   42004484
              -10               4               1              HB  0.73617  1.54609  0.72608  2.11112  2.02531  0.73110  1.53202  1.99565  1.99921  0.74332   42004504
              -11               4               1              HB  0.52426  1.71216  0.54370  2.26228  2.03766  0.52195  2.21476  2.33532  2.52847  0.54641   42004584
              -12               4               1              HB  0.54147 -0.65740  0.61627 -0.43306 -1.05795  0.67764 -1.24610 -1.75256 -1.89778  0.63374   42004604
              -13               4               1              HB  0.63386  0.16660  0.60523  0.48113  0.52757  0.62388 -0.68800 -0.05297 -0.26081  0.61512   42004684
              -14               4               1              HB  0.61609  3.23622  0.55645  4.00374  3.89403  0.56897  2.83748  3.06730  3.51912  0.64699   42004704
              -15               4               1              HB  0.60949  2.85635  0.59591  3.59605  4.05128  0.58977  3.07953  4.11159  4.30360  0.62763   42004784
              -15               4               2              HB  0.46209  1.64061  0.50010  2.63752  2.04268  0.47021  0.60787  0.21003  0.97313  0.45898   42008784
              -16               4               1              HB  0.46314 -1.15625  0.47186 -0.80319 -1.15343  0.47539 -1.49775 -1.50137 -1.50281  0.43690   42004804
              -16               4               2              HB  0.52405 11.45158  0.53369 11.54278 11.95960  0.53544 10.77399 11.54219 11.33083  0.55215   42008804
               -1               5               1              HB  0.60446 -3.13088  0.60950 -2.12849 -3.34094  0.61011 -3.00951 -3.52002 -3.21890  0.58258   42004085
               -2               5               1              HB  0.53149  2.65573  0.51254  2.49493  3.98911  0.53375  2.40882  4.01143  3.63931  0.55858   42004105
               -3               5               1              HB  0.37956  4.62218  0.37250  5.17660  5.31696  0.40072  3.76144  4.02443  4.31333  0.37518   42004185
               -4               5               1              HB  0.53568  2.69622  0.53201  3.57994  3.13941  0.55338  2.16734  2.31135  2.73331  0.55414   42004205
               -5               5               1              HB  0.55973  5.88590  0.57627  5.56225  4.45635  0.53904  5.30498  4.73158  3.98255  0.54551   42004285
               -6               5               1              HB  0.52495 -0.94220  0.54679  0.55461 -2.77733  0.51671  0.45815 -2.15008 -0.83008  0.51448   42004305
               -7               5               1              HB  0.44900 -1.41092  0.41002 -1.34425 -1.29374  0.41998 -0.49394 -0.16082 -0.28656  0.42807   42004385
               -8               5               1              HB  0.49491  5.62880  0.51107  4.71714  5.96266  0.47814  4.73751  6.68763  5.00397  0.52693   42004405
               -9               5               1              HB  0.50409 -0.94039  0.48839 -0.26874  0.60635  0.49121 -1.22575 -0.29125  0.12829  0.46010   42004485
              -10               5               1              HB  0.59043  2.51982  0.58889  2.87051  2.47359  0.58680  2.38238  2.56963  2.31383  0.55968   42004505
              -11               5               1              HB  0.51718  5.08786  0.51254  6.42209  6.40600  0.49737  3.96298  4.27564  5.22790  0.50298   42004585
              -12               5               1              HB  0.50443 -4.64956  0.49483 -4.23172 -4.64834  0.50167 -5.29403 -5.27274 -5.33975  0.52694   42004605
              -13               5               1              HB  0.56793 -1.49287  0.55239 -0.63672 -1.40825  0.53341 -0.99783 -1.18375 -0.87924  0.54075   42004685
              -14               5               1              HB  0.60449  3.98282  0.58896  2.99070  3.12837  0.60235  2.30301  3.00140  1.18860  0.60980   42004705
              -15               5               1              HB  0.51941 -1.50346  0.50797 -1.34800 -1.93208  0.54350 -0.62730 -0.76922 -0.84933  0.49878   42004785
              -15               5               2              HB  0.63767 -4.93544  0.64840 -5.03993 -4.24541  0.64466 -5.32719 -4.13085 -4.70908  0.64664   42008785
              -16               5               1              HB  0.48677 -1.48847  0.47445 -1.46885 -2.41273  0.45970 -1.54839 -2.10586 -2.31810  0.46325   42004805
              -16               5               2              HB  0.58793 -1.42424  0.61099 -0.70660 -0.84277  0.60531 -1.30960 -1.06821 -0.69413  0.59959   42008805
               -1               6               1              HB  0.52373  0.89091  0.50881  1.32883  2.00822  0.52974 -0.39766  0.70034  0.73894  0.52179   42004086
               -2               6               1              HB  0.58716  0.37088  0.53516  1.08817  1.73671  0.56380 -0.58185  0.48187  0.73391  0.56933   42004106
               -3               6               1              HB  0.51022  0.56182  0.49074  1.37773  1.84658  0.49469 -0.41730  0.57763  1.04575  0.47455   42004186
               -4               6               1              HB  0.57370  0.82744  0.60456  1.94962  2.27286  0.54968 -0.43642  0.55790  0.93039  0.59916   42004206
               -5               6               1              HB  0.46810  0.76032  0.47461  1.68734  1.89471  0.49079 -0.54962  0.16485  0.45631  0.46851   42004286
               -6               6               1              HB  0.51766  0.68894  0.50192  1.39045  2.19347  0.54178 -0.60217  0.24012  0.43625  0.51660   42004306
               -7               6               1              HB  0.51347  0.54292  0.49944  1.06163  2.10617  0.51801 -0.56759  0.41251  0.64826  0.52868   42004386
               -8               6               1              HB  0.51529  0.87681  0.48351  1.67849  2.36461  0.48092 -0.31752  0.76970  1.18499  0.50709   42004406
               -9               6               1              HB  0.51409  0.76082  0.48269  1.61367  2.62787  0.51045 -0.41626  0.66423  1.18235  0.51760   42004486
              -10               6               1              HB  0.60795  0.95370  0.60466  1.70757  2.26366  0.59980 -0.59331  0.39354  0.60973  0.61339   42004506
              -11               6               1              HB  0.55250  1.14682  0.51587  1.71309  2.68086  0.56465 -0.44201  0.63640  0.87128  0.55956   42004586
              -12               6               1              HB  0.50129  0.90050  0.52391  2.16732  2.43119  0.50231 -0.36503  0.48917  1.06598  0.48688   42004606
              -13               6               1              HB  0.54320  0.95167  0.57734  2.00036  2.71103  0.53202 -0.67472  0.14372  0.38601  0.53400   42004686
              -14               6               1              HB  0.49564  0.93318  0.48276  1.57232  2.50736  0.48624 -0.57549  0.29773  0.45476  0.46501   42004706
              -15               6               1              HB  0.53200  0.69210  0.50228  1.39902  2.36998  0.49589 -0.54418  0.52190  0.79351  0.48793   42004786
              -15               6               2              HB  0.51894  0.95781  0.53824  2.27679  2.03117  0.50351 -0.24709  0.52462  1.08556  0.51620   42008786
              -16               6               1              HB  0.46652  1.08765  0.48932  1.90289  2.57118  0.48176 -0.34367  0.59787  0.93282  0.46906   42004806
              -16               6               2              HB  0.64000  0.96538  0.62366  1.79778  2.31220  0.62900 -0.31781  0.77416  1.09139  0.60142   42008806
