#             eta             phi             dep             det  sig_0_o  sig_1_0  sig_1_1  sig_2_0  sig_2_1  sig_2_2  sig_3_0  sig_3_1  sig_3_2  sig_3_3      DetId
               -1               1               1              HB  0.58948 -3.48977  0.56678 -2.92705 -3.61149  0.57540 -2.87393 -3.07220 -3.04628  0.60298   42004081
               -2               1               1              HB  0.50662  3.21261  0.47384  3.47215  3.27416  0.50740  3.10327  3.22155  3.20523  0.50224   42004101
               -3               1               1              HB  0.56079  1.62032  0.56824  2.77347  0.69602  0.57290  1.88725  0.26972  1.16323  0.57116   42004181
               -4               1               1              HB  0.58888 -1.40108  0.59639 -0.79432 -1.95007  0.60750 -2.00730 -2.18870 -2.63256  0.62761   42004201
               -5               1               1              HB  0.53871  4.39544  0.52604  4.55729  4.88856  0.55551  3.18147  4.00180  3.80698  0.54179   42004281
               -6               1               1              HB  0.54233  0.21079  0.53733  0.85859  0.81562  0.53378 -1.14252 -0.73728 -0.75419  0.55835   42004301
               -7               1               1              HB  0.50033  1.73618  0.49535  2.59591  2.54616  0.53044  2.12485  2.42011  2.99897  0.51374   42004381
               -8               1               1              HB  0.52591  4.81656  0.57137  4.78569  5.78474  0.53244  2.97301  4.22077  3.74488  0.51443   42004401
               -9               1               1              HB  0.54937 -4.03231  0.56152 -3.65400 -2.34595  0.59161 -3.98865 -2.80724 -2.76631  0.55347   42004481
              -10               1               1              HB  0.58857  2.21323  0.59744  4.22746  2.30211  0.59051  2.14249  0.24298  2.23629  0.57143   42004501
              -11               1               1              HB  0.69335 -3.20362  0.69037 -2.87271 -2.66422  0.70639 -3.43764 -2.67047 -2.84493  0.70818   42004581
              -12               1               1              HB  0.55118 -0.21230  0.50320 -0.44293  0.14337  0.49902 -0.79598  0.00434 -0.67504  0.52438   42004601
              -13               1               1              HB  0.66209 -0.93563  0.64228  1.99430  0.84726  0.62165 -0.24611 -0.73958  1.98896  0.64516   42004681
              -14               1               1              HB  0.50629  2.97317  0.52247  4.12303  3.20451  0.51701  3.09828  2.28902  3.25581  0.49739   42004701
              -15               1               1              HB  0.57402  3.83444  0.57698  4.47161  4.41241  0.52142  3.14194  3.51078  3.72143  0.57262   42004781
              -15               1               2              HB  0.65264 -0.19760  0.62798  1.27794  1.19838  0.63419  0.11540  0.45005  1.44739  0.60403   42008781
              -16               1               1              HB  0.51706 -0.49074  0.50649 -1.13098 -0.42603  0.48040 -1.16594 -0.15899 -1.03708  0.51736   42004801
              -16               1               2              HB  0.63576  3.78031  0.60341  4.88665  4.57401  0.60003  3.63284  3.77728  4.37392  0.61585   42008801
               -1               2               1              HB  0.59485 -1.71432  0.58182 -0.70501 -1.59492  0.58041 -2.48241 -2.52874 -2.38773  0.56687   42004082
               -2               2               1              HB  0.96267  0.92796  0.99182  3.99395  1.62871  0.87386  0.88891  0.45016  1.21680  0.92509   42004102
               -3               2               1              HB  0.54199  2.16111  0.54503  2.20579  3.93434  0.50442  0.54468  2.29605  2.12139  0.55734   42004182
