#             eta             phi             dep             det  sig_0_o  sig_1_0  sig_1_1  sig_2_0  sig_2_1  sig_2_2  sig_3_0  sig_3_1  sig_3_2  sig_3_3      DetId
                9               3               1              HB  0.66747 -0.22375  0.65661 -0.01717 -0.23315  0.62814 -0.25028 -0.04305 -0.21001  0.65433   42006483
               10               3               1              HB  0.66281 -0.22692  0.62930  0.04533 -0.19245  0.63194 -0.24076 -0.15870 -0.22002  0.64824   42006503
               11               3               1              HB  0.74783 -0.23650  0.75749  0.00420 -0.22415  0.73429 -0.30843 -0.02813 -0.24643  0.72792   42006583
               12               3               1              HB  0.69535 -0.17916  0.65822 -0.06123 -0.22912  0.66857 -0.29762  0.02646 -0.20726  0.67692   42006603
               13               3               1              HB  0.67067 -0.23982  0.68976 -0.02858 -0.18127  0.65687 -0.21834 -0.01194 -0.24983  0.67503   42006683
               14               3               1              HB  0.65729 -0.24155  0.67514  0.06040 -0.15812  0.70639 -0.26413 -0.04809 -0.26559  0.62506   42006703
               15               3               1              HB  0.73296 -0.27640  0.69691  0.05510 -0.29241  0.71412 -0.18616  0.03702 -0.32375  0.72058   42006783
               15               3               2              HB  0.62563 -0.23785  0.59089 -0.14123 -0.22056  0.61698 -0.26697 -0.02792 -0.19268  0.62688   4200A783
               16               3               1              HB  0.67173 -0.27187  0.70184 -0.05038 -0.18669  0.63385 -0.23762  0.01845 -0.19625  0.64293   42006803
               16               3               2              HB  0.65697 -0.23188  0.67047 -0.04741 -0.31347  0.57984 -0.27770  0.00733 -0.23725  0.65868   4200A803
                1               4               1              HB  0.71615 -0.23832  0.70725  0.01865 -0.27030  0.72419 -0.28678 -0.02950 -0.30525  0.74379   42006084
                2               4               1              HB  0.59260 -0.19246  0.61537 -0.08660 -0.23829  0.55005 -0.21182  0.07515 -0.18770  0.57433   42006104
                3               4               1              HB  0.56788 -0.21904  0.53693  0.00272 -0.16928  0.53201 -0.14831 -0.06211 -0.25787  0.53707   42006184
                4               4               1              HB  0.77887 -0.22476  0.77785 -0.02048 -0.34037  0.73043 -0.31442 -0.11744 -0.24878  0.75363   42006204
                5               4               1              HB  0.53151 -0.15404  0.53068  0.08646 -0.13401  0.50500 -0.22774  0.02567 -0.22162  0.50390   42006284
                6               4               1              HB  0.58588 -0.13888  0.51537  0.04799 -0.20575  0.55085 -0.18252 -0.04322 -0.14804  0.53798   42006304
                7               4               1              HB  0.56156 -0.21958  0.55997 -0.01826 -0.19162  0.54338 -0.22274  0.03367 -0.20891  0.56602   42006384
                8               4               1              HB  0.62939 -0.17128  0.64262 -0.15991 -0.27076  0.62025 -0.20375 -0.07686 -0.28624  0.64545   42006404
                9               4               1              HB  0.54202 -0.20003  0.54811 -0.07991 -0.13901  0.51223 -0.16926 -0.01097 -0.17619  0.50904   42006484
               10               4               1              HB  0.62984 -0.14866  0.58761 -0.07930 -0.17809  0.59027 -0.17100  0.00461 -0.14726  0.57821   42006504
               11               4               1              HB  0.63202 -0.13461  0.61311  0.12043 -0.17877  0.61973 -0.14891 -0.04479 -0.26413  0.59147   42006584
               12               4               1              HB  0.51909 -0.15811  0.52400 -0.02239 -0.16632  0.50780 -0.17207 -0.04017 -0.14472  0.50537   42006604
               13               4               1              HB  0.66774 -0.27248  0.70436 -0.01505 -0.23520  0.65955 -0.24191 -0.05201 -0.30663  0.70615   42006684
               14               4               1              HB  0.55848 -0.12681  0.53747 -0.09236 -0.17632  0.55560 -0.26314  0.01507 -0.12390  0.57416   42006704
               15               4               1              HB  0.55612 -0.18620  0.58147 -0.13900 -0.17545  0.52356 -0.19742 -0.01822 -0.19491  0.54227   42006784
               15               4               2              HB  0.62955 -0.27847  0.58785 -0.04201 -0.22024  0.57414 -0.20392  0.02696 -0.22004  0.58996   4200A784
               16               4               1              HB  0.53608 -0.16191  0.50595 -0.05669 -0.15076  0.53605 -0.15472 -0.10109 -0.21641  0.51602   42006804
               16               4               2              HB  0.76034 -0.31955  0.76154 -0.00161 -0.24068  0.65453 -0.24346 -0.04757 -0.22734  0.72122   4200A804
                1               5               1              HB  0.60457 -0.19936  0.61761  0.01476 -0.21743  0.63530 -0.25067 -0.05853 -0.19311  0.63514   42006085
                2               5               1              HB  0.68018 -0.31323  0.69330 -0.09421 -0.19190  0.67168 -0.29220  0.00543 -0.23980  0.68676   42006105
                3               5               1              HB  0.67818 -0.19267  0.64586 -0.17809 -0.28435  0.60344 -0.32782 -0.12980 -0.20300  0.67823   42006185
                4               5               1              HB  0.66177 -0.24838  0.67674 -0.01599 -0.22719  0.62910 -0.23301  0.04671 -0.17189  0.64421   42006205
                5               5               1              HB  0.63993 -0.19775  0.59956 -0.06595 -0.17404  0.58133 -0.18680  0.04900 -0.18324  0.61815   42006285
                6               5               1              HB  0.75267 -0.23093  0.67079 -0.05228 -0.28313  0.75332 -0.29538 -0.13539 -0.24196  0.74048   42006305
                7               5               1              HB  0.70644 -0.15594  0.71143  0.06539 -0.28904  0.70155 -0.23666 -0.09225 -0.25816  0.69795   42006385
                8               5               1              HB  0.71062 -0.27593  0.73327 -0.01582 -0.25340  0.70544 -0.28257  0.07114 -0.25152  0.66863   42006405
                9               5               1              HB  0.65091 -0.24704  0.60779  0.05437 -0.20108  0.60759 -0.23649  0.05479 -0.19060  0.62167   42006485
               10               5               1              HB  0.78266 -0.32560  0.72738 -0.05284 -0.27728  0.75242 -0.24117 -0.04293 -0.31529  0.75736   42006505
               11               5               1              HB  0.80996 -0.33165  0.79238 -0.02643 -0.31093  0.78097 -0.32202 -0.10628 -0.32141  0.75909   42006585
               12               5               1              HB  0.74151 -0.20321  0.72942 -0.04265 -0.30770  0.69412 -0.29002 -0.00929 -0.20370  0.68680   42006605
               13               5               1              HB  0.64630 -0.29350  0.66394 -0.04827 -0.31042  0.58847 -0.23494 -0.02697 -0.22092  0.58235   42006685
               14               5               1              HB  0.61620 -0.19919  0.66069  0.04448 -0.21210  0.59808 -0.22086  0.03460 -0.23721  0.55354   42006705
               15               5               1              HB  0.56315 -0.19300  0.52102  0.05843 -0.12323  0.50780 -0.17646  0.04817 -0.21358  0.52212   42006785
               15               5               2              HB  0.66381 -0.23119  0.60524 -0.10081 -0.12651  0.62204 -0.19205  0.04530 -0.34730  0.65750   4200A785
               16               5               1              HB  0.61049 -0.23800  0.63895 -0.01032 -0.19674  0.54925 -0.18976  0.01434 -0.13906  0.57933   42006805
               16               5               2              HB  0.69097 -0.31116  0.68026  0.00852 -0.22976  0.64553 -0.32975  0.05620 -0.24062  0.70918   4200A805
                1               6               1              HB  0.65556 -0.25383  0.66696 -0.02696 -0.21928  0.62869 -0.22345 -0.07734 -0.29849  0.64239   42006086
                2               6               1              HB  0.62118 -0.32144  0.68316 -0.01836 -0.20903  0.60647 -0.18454  0.01377 -0.21106  0.61968   42006106
                3               6               1              HB  0.61977 -0.28178  0.60259  0.02734 -0.22662  0.57219 -0.16598 -0.09471 -0.20547  0.59463   42006186
                4               6               1              HB  0.81957 -0.29078  0.78557  0.05039 -0.33497  0.76976 -0.26008 -0.05273 -0.21409  0.78592   42006206
                5               6               1              HB  0.62348 -0.22369  0.58776 -0.01132 -0.12915  0.57756 -0.29078  0.12335 -0.18843  0.59937   42006286
                6               6               1              HB  0.68466 -0.22752  0.67661 -0.01441 -0.22298  0.62455 -0.21600 -0.03781 -0.21959  0.62924   42006306
                7               6               1              HB  0.71144 -0.28965  0.69207 -0.08439 -0.25078  0.63502 -0.22538 -0.06739 -0.23332  0.64663   42006386
                8               6               1              HB  0.62932 -0.17621  0.63554  0.00469 -0.20778  0.62453 -0.19505 -0.03402 -0.18361  0.57744   42006406
                9               6               1              HB  0.58111 -0.17850  0.49959 -0.03549 -0.13307  0.50679 -0.17475 -0.05356 -0.14535  0.54056   42006486
               10               6               1              HB  0.69868 -0.28865  0.72935  0.03681 -0.20543  0.66012 -0.23981 -0.05055 -0.18325  0.64827   42006506
               11               6               1              HB  0.76967 -0.28531  0.74890  0.00462 -0.25211  0.75733 -0.27773  0.03192 -0.28371  0.75031   42006586
               12               6               1              HB  0.56656 -0.20994  0.55091 -0.00551 -0.15637  0.52783 -0.18116  0.02432 -0.15625  0.53157   42006606
               13               6               1              HB  0.63678 -0.25310  0.61141 -0.01050 -0.14679  0.60724 -0.17391 -0.03743 -0.26926  0.58581   42006686
               14               6               1              HB  0.69271 -0.23051  0.72619 -0.05593 -0.22068  0.68803 -0.24280 -0.03483 -0.21268  0.66747   42006706
               15               6               1              HB  0.75545 -0.28762  0.78282 -0.15922 -0.34474  0.78813 -0.36056  0.02688 -0.31970  0.78218   42006786
               15               6               2              HB  0.84154 -0.38787  0.82146 -0.07787 -0.28046  0.71815 -0.34798 -0.17669 -0.19081  0.78224   4200A786
               16               6               1              HB  0.81925 -0.33181  0.78686  0.00559 -0.15070  0.73583 -0.41648 -0.05181 -0.29304  0.77804   42006806
