#             eta             phi             dep             det  sig_0_o  sig_1_0  sig_1_1  sig_2_0  sig_2_1  sig_2_2  sig_3_0  sig_3_1  sig_3_2  sig_3_3      DetId
               -1               1               1              HB  0.68691 -0.22252  0.64907  0.00104 -0.23610  0.65357 -0.29945 -0.05247 -0.24526  0.67363   42004081
               -2               1               1              HB  0.60696 -0.22777  0.56219 -0.01121 -0.23061  0.56198 -0.17740 -0.09225 -0.22427  0.57960   42004101
               -3               1               1              HB  0.61730 -0.20281  0.64274 -0.11184 -0.26122  0.61460 -0.20101  0.02605 -0.23281  0.60227   42004181
               -4               1               1              HB  0.77598 -0.22995  0.70394 -0.04971 -0.29642  0.70292 -0.29583 -0.03906 -0.27829  0.72182   42004201
               -5               1               1              HB  0.62084 -0.20931  0.59862 -0.08208 -0.20694  0.61083 -0.20334 -0.00654 -0.18731  0.59768   42004281
               -6               1               1              HB  0.67079 -0.24451  0.66465 -0.05068 -0.23283  0.58611 -0.22793 -0.02883 -0.19463  0.63154   42004301
               -7               1               1              HB  0.63780 -0.17930  0.56704  0.03045 -0.23106  0.61250 -0.21482  0.03493 -0.18785  0.58246   42004381
               -8               1               1              HB  0.73639 -0.26689  0.69898  0.06461 -0.29422  0.65727 -0.34350 -0.00956 -0.20576  0.67033   42004401
               -9               1               1              HB  0.64243 -0.06312  0.62419  0.15688 -0.23861  0.64282 -0.11148 -0.06456 -0.23369  0.71107   42004481
              -10               1               1              HB  0.69205 -0.25360  0.71216  0.06217 -0.22325  0.67837 -0.26714 -0.04453 -0.27083  0.67271   42004501
              -11               1               1              HB  0.76219 -0.23869  0.69028  0.01005 -0.22151  0.67930 -0.28026 -0.07167 -0.23756  0.68686   42004581
              -12               1               1              HB  0.69144 -0.18334  0.66116 -0.02836 -0.19577  0.61066 -0.21032 -0.04902 -0.22096  0.62473   42004601
              -13               1               1              HB  0.73388 -0.25837  0.72878 -0.11590 -0.25829  0.68886 -0.19991  0.02223 -0.19887  0.69309   42004681
              -14               1               1              HB  0.58811 -0.15203  0.54137 -0.06400 -0.20403  0.55187 -0.21619 -0.02890 -0.16197  0.59129   42004701
              -15               1               1              HB  0.66027 -0.21998  0.62422 -0.05142 -0.19478  0.56698 -0.27215 -0.04277 -0.22444  0.70568   42004781
              -15               1               2              HB  0.74820 -0.25166  0.76921  0.01315 -0.27966  0.71919 -0.22979 -0.02593 -0.23991  0.68093   42008781
              -16               1               1              HB  0.62511 -0.25889  0.55851 -0.00235 -0.15552  0.57899 -0.18698 -0.03092 -0.15387  0.60436   42004801
              -16               1               2              HB  0.76256 -0.19787  0.69454 -0.00395 -0.20111  0.66124 -0.28047 -0.06366 -0.20121  0.75039   42008801
               -1               2               1              HB  0.71847 -0.21643  0.67395  0.01309 -0.21668  0.67254 -0.23535 -0.00633 -0.21734  0.65708   42004082
               -2               2               1              HB  1.14378 -0.00061  1.17901  0.02686  0.15722  1.00201 -0.34007  0.08914 -0.42915  1.05907   42004102
               -3               2               1              HB  0.63433 -0.25195  0.64807 -0.00445 -0.20659  0.61453 -0.19704 -0.04242 -0.19149  0.61301   42004182
               -4               2               1              HB  0.73523 -0.28296  0.76323 -0.01684 -0.26680  0.68210 -0.28604 -0.04430 -0.27666  0.76181   42004202
               -5               2               1              HB  0.76987 -0.26058  0.79410  0.07059 -0.26935  0.72094 -0.29330 -0.03860 -0.29774  0.81878   42004282
               -6               2               1              HB  0.59916 -0.21236  0.59917 -0.03232 -0.16529  0.57565 -0.16805 -0.00541 -0.13907  0.55730   42004302
               -7               2               1              HB  0.68270 -0.24939  0.73743 -0.04525 -0.23932  0.72952 -0.25352  0.00600 -0.27562  0.68675   42004382
               -8               2               1              HB  0.66833 -0.27121  0.61608 -0.01833 -0.15827  0.56707 -0.17191 -0.02652 -0.20712  0.61132   42004402
               -9               2               1              HB  0.71473 -0.23962  0.66188 -0.00001 -0.27813  0.65922 -0.27867 -0.00105 -0.22189  0.69751   42004482
              -10               2               1              HB  0.77918 -0.29187  0.77307 -0.00523 -0.21291  0.77146 -0.24446  0.00078 -0.28315  0.76937   42004502
              -11               2               1              HB  0.75210 -0.22810  0.74914  0.08903 -0.25662  0.79118 -0.19961  0.06478 -0.26645  0.75024   42004582
              -12               2               1              HB  0.61221 -0.21783  0.59675  0.04430 -0.17671  0.54891 -0.13558  0.00493 -0.13045  0.58008   42004602
              -13               2               1              HB  0.80636 -0.33944  0.82800 -0.01645 -0.30315  0.78686 -0.30496 -0.02784 -0.30463  0.79217   42004682
              -14               2               1              HB  0.60885 -0.13849  0.59344 -0.00980 -0.18753  0.57957 -0.12211 -0.08260 -0.21129  0.65862   42004702
              -15               2               1              HB  0.78400 -0.25353  0.79444 -0.02086 -0.21153  0.78732 -0.27044 -0.07220 -0.34583  0.77812   42004782
              -15               2               2              HB  1.06922 -0.29042  1.10941  0.08173 -0.36761  1.04412 -0.16381 -0.02182 -0.36232  1.05037   42008782
              -16               2               1              HB  1.09980 -0.15271  1.17677  0.16774 -0.26070  1.08696 -0.11016 -0.07472 -0.28188  1.11452   42004802
              -16               2               2              HB  1.46516 -0.74961  1.38324  0.06409 -0.53783  1.37867 -0.31288  0.28603 -0.46814  1.40484   42008802
               -1               3               1              HB  0.58795 -0.19136  0.56398 -0.03486 -0.22615  0.54847 -0.18511  0.02888 -0.18198  0.53384   42004083
               -2               3               1              HB  0.56738 -0.18763  0.54041 -0.01571 -0.15429  0.54182 -0.16729 -0.03240 -0.15006  0.52962   42004103
               -3               3               1              HB  0.48799 -0.18156  0.47331 -0.01288 -0.17224  0.44418 -0.17421 -0.03939 -0.16175  0.50846   42004183
               -4               3               1              HB  0.52011 -0.16783  0.55560 -0.04699 -0.20360  0.51259 -0.16693 -0.03516 -0.17752  0.52297   42004203
               -5               3               1              HB  0.52062 -0.14960  0.53812 -0.10244 -0.20695  0.51528 -0.16982 -0.02533 -0.14597  0.50991   42004283
               -6               3               1              HB  0.58499 -0.20631  0.56474 -0.08730 -0.21288  0.53563 -0.19456 -0.02002 -0.16544  0.54090   42004303
               -7               3               1              HB  0.56207 -0.17514  0.47694 -0.01836 -0.11981  0.47871 -0.14951  0.00415 -0.14296  0.49925   42004383
               -8               3               1              HB  0.57185 -0.16976  0.52644 -0.05076 -0.21896  0.54592 -0.22992 -0.04183 -0.16286  0.52598   42004403
               -9               3               1              HB  0.53294 -0.20553  0.52088 -0.01155 -0.13378  0.47802 -0.15821  0.01157 -0.11589  0.51484   42004483
              -10               3               1              HB  0.61290 -0.17443  0.54847  0.01494 -0.17124  0.58591 -0.22089  0.04951 -0.13361  0.53195   42004503
              -11               3               1              HB  0.54677 -0.19003  0.53598  0.02808 -0.16082  0.50208 -0.11716 -0.04084 -0.18841  0.51777   42004583
              -12               3               1              HB  0.56393 -0.16618  0.56677  0.04500 -0.22883  0.57019 -0.20908 -0.01314 -0.24613  0.57602   42004603
              -13               3               1              HB  0.62862  0.18994  0.65135  0.42085 -0.04568  0.61850  0.17979  0.24107 -0.01997  0.63325   42004683
              -14               3               1              HB  0.59118 -0.15655  0.57886 -0.00712 -0.13628  0.53653 -0.19668 -0.02917 -0.14878  0.56143   42004703
              -15               3               1              HB  0.64652 -0.20010  0.68065 -0.03105 -0.15702  0.66927 -0.17212 -0.02247 -0.26405  0.66298   42004783
              -15               3               2              HB  0.66722 -0.25067  0.66145 -0.09171 -0.22817  0.63902 -0.22496  0.03079 -0.22319  0.65251   42008783
              -16               3               1              HB  0.62517 -0.16635  0.60552  0.02006 -0.19286  0.56858 -0.17100 -0.04292 -0.21285  0.58804   42004803
              -16               3               2              HB  0.68940 -0.26214  0.70128 -0.03241 -0.22781  0.64270 -0.23429  0.09722 -0.20052  0.67871   42008803
               -1               4               1              HB  0.69927 -0.24986  0.70253 -0.00730 -0.16265  0.65554 -0.25294 -0.02189 -0.26668  0.67389   42004084
               -2               4               1              HB  0.60386 -0.20386  0.60033  0.03649 -0.19928  0.55550 -0.20498 -0.06432 -0.16621  0.56963   42004104
               -3               4               1              HB  0.55407 -0.19517  0.52899 -0.03337 -0.18090  0.51799 -0.13586 -0.06864 -0.16164  0.49683   42004184
               -4               4               1              HB  0.84126 -0.30535  0.83236 -0.00374 -0.31251  0.78731 -0.26789 -0.03838 -0.25203  0.76952   42004204
               -5               4               1              HB  0.66077 -0.23939  0.62388 -0.02829 -0.22850  0.59076 -0.22829 -0.01275 -0.22383  0.60276   42004284
               -6               4               1              HB  0.61833 -0.20746  0.62390 -0.12333 -0.21075  0.58271 -0.18895  0.01294 -0.18363  0.61023   42004304
               -7               4               1              HB  0.56893 -0.16948  0.54830  0.02079 -0.16377  0.53500 -0.18341 -0.04370 -0.19943  0.53298   42004384
               -8               4               1              HB  0.95328 -0.38399  1.03778 -0.09176 -0.42200  0.98553 -0.28898 -0.12442 -0.35427  1.04054   42004404
               -9               4               1              HB  0.57856 -0.20731  0.54468 -0.04004 -0.18161  0.53622 -0.19151 -0.01667 -0.21933  0.57921   42004484
              -10               4               1              HB  0.80524 -0.29278  0.81929 -0.01051 -0.25276  0.76243 -0.29408 -0.01482 -0.25601  0.75593   42004504
              -11               4               1              HB  0.64063 -0.18970  0.61520 -0.06201 -0.22725  0.58796 -0.22314 -0.01783 -0.21146  0.65723   42004584
              -12               4               1              HB  0.65189 -0.17352  0.70505  0.03921 -0.19178  0.69036 -0.16194 -0.01784 -0.23034  0.69515   42004604
              -13               4               1              HB  0.81031 -0.27229  0.77448  0.04719 -0.26635  0.75920 -0.28675 -0.02944 -0.34006  0.75455   42004684
              -14               4               1              HB  0.77695 -0.25049  0.70820  0.00122 -0.16745  0.70744 -0.27318  0.01186 -0.28155  0.75246   42004704
              -15               4               1              HB  0.76912 -0.29972  0.74385  0.02554 -0.22478  0.70439 -0.31477  0.02106 -0.27341  0.78733   42004784
              -15               4               2              HB  0.57085 -0.14442  0.58152  0.04835 -0.19857  0.57794 -0.20062 -0.03180 -0.18680  0.58238   42008784
              -16               4               1              HB  0.57484 -0.18577  0.55256 -0.04841 -0.17265  0.51299 -0.17729 -0.01650 -0.18672  0.54202   42004804
              -16               4               2              HB  0.69648 -0.22876  0.66348  0.10913 -0.27058  0.60767 -0.19662 -0.06965 -0.20152  0.67005   42008804
               -1               5               1              HB  0.74535 -0.27194  0.73238 -0.03005 -0.26872  0.70263 -0.25363 -0.00306 -0.26614  0.68911   42004085
               -2               5               1              HB  0.62295 -0.19073  0.59484 -0.01418 -0.22701  0.61695 -0.18126 -0.09056 -0.18690  0.60474   42004105
               -3               5               1              HB  0.47379 -0.10998  0.43855  0.00358 -0.15424  0.50187 -0.16552  0.05877 -0.15142  0.44840   42004185
               -4               5               1              HB  0.73061 -0.27687  0.70350 -0.02032 -0.26542  0.68472 -0.28610 -0.00871 -0.29576  0.68356   42004205
