#  eta  phi  dep  det     cap0     cap1     cap2     cap3  HcalDetId
    -2   17    1   HB  4.48300  4.50000  4.67680  4.46600   42004111
    -2   18    1   HB  4.30020  3.71000  4.44840  3.84680   42004112
    -2   19    1   HB  3.98440  3.91340  4.31840  4.02040   42004113
    -2   20    1   HB  5.28000  5.24660  5.65820  5.35220   42004114
    -2   21    1   HB  3.97900  4.31960  4.06280  4.06820   42004115
    -2   22    1   HB  3.34440  3.20660  3.55640  3.25720   42004116
    -2   23    1   HB  3.53280  3.52300  4.04420  3.79000   42004117
    -2   24    1   HB  3.84780  3.48680  4.05520  3.22600   42004118
    -2   25    1   HB  4.05680  3.46440  4.21700  3.77580   42004119
    -2   26    1   HB  4.20120  4.13720  4.48160  3.90160   4200411A
    -2   27    1   HB  5.22840  5.44000  5.70500  5.49040   4200411B
    -2   28    1   HB  5.16420  4.90220  5.22400  5.18900   4200411C
    -2   29    1   HB  4.23780  4.19120  4.45700  3.71240   4200411D
    -2   30    1   HB  4.18980  3.35140  4.37160  4.05000   4200411E
    -2   31    1   HB  4.26420  4.13340  4.32780  4.24580   4200411F
    -2   32    1   HB  3.61940  3.20700  3.77600  3.12480   42004120
    -2   33    1   HB  2.65943  3.12900  3.21640  3.24140   42004121
    -2   34    1   HB  2.96840  2.46819  3.47360  3.14500   42004122
    -2   35    1   HB  4.64800  4.17860  4.55180  4.22140   42004123
    -2   36    1   HB  4.11360  3.92980  4.56600  4.20080   42004124
    -2   37    1   HB  3.08660  3.74140  3.89260  4.19060   42004125
    -2   38    1   HB  4.37160  4.14860  4.38500  4.14500   42004126
    -2   39    1   HB  3.72800  4.04340  4.19580  3.78180   42004127
    -2   40    1   HB  3.80060  3.74460  4.11960  4.37980   42004128
    -2   41    1   HB  3.72860  3.90080  3.48620  3.49900   42004129
    -2   42    1   HB  3.84500  4.13020  4.68300  4.87960   4200412A
    -2   43    1   HB  3.80320  3.75540  3.65540  3.89280   4200412B
    -2   44    1   HB  3.64960  3.72060  4.07080  3.72840   4200412C
    -2   45    1   HB  4.21480  4.38500  4.39640  4.41280   4200412D
    -2   46    1   HB  3.83700  4.17520  4.00920  4.06760   4200412E
    -2   47    1   HB  4.03940  4.06400  4.02700  3.82160   4200412F
    -2   48    1   HB  4.86600  4.38540  4.86740  4.64660   42004130
    -2   49    1   HB  3.15740  3.72600  3.50000  3.65800   42004131
    -2   50    1   HB  4.15000  3.77640  4.12780  3.97980   42004132
    -2   51    1   HB  3.88120  3.96780  3.81640  4.38880   42004133
    -2   52    1   HB  4.36840  3.81620  3.97340  4.32540   42004134
    -2   53    1   HB  3.61780  3.92680  3.56340  4.00680   42004135
    -2   54    1   HB  4.49980  4.20340  4.60600  4.68420   42004136
