#             eta             phi             dep             det  sig_0_o  sig_1_0  sig_1_1  sig_2_0  sig_2_1  sig_2_2  sig_3_0  sig_3_1  sig_3_2  sig_3_3      DetId
               -1               1               1              HB  0.50249  0.13162  0.40282 -0.01475 -0.24505  0.66189 -0.34356  0.30866 -0.04344  0.66239   42004081
               -2               1               1              HB  0.53657 -0.21016  0.51366  0.37894 -0.19106  0.51968  0.06119  0.14894 -0.18047  0.59219   42004101
               -3               1               1              HB  0.57028 -0.26071  0.64679  0.08280 -0.23082  0.67232  0.00863 -0.28597 -0.03220  0.63944   42004181
               -4               1               1              HB  0.48284  0.16450  0.65990  0.26615 -0.45402  0.67637 -0.06677 -0.12342 -0.43546  0.62772   42004201
               -5               1               1              HB  0.66173 -0.03918  0.46213  0.21903 -0.45786  0.51013 -0.34921 -0.07033  0.04012  0.59912   42004281
               -6               1               1              HB  0.46929 -0.27789  0.78154 -0.28267 -0.03844  0.72657 -0.00545 -0.06709 -0.64630  0.57931   42004301
               -7               1               1              HB  0.23251  0.88548  0.66509  0.14021  0.19785  0.16218  0.00000 -0.24727  0.16345  0.00000   42004381
               -8               1               1              HB  0.70919 -0.19346  0.54186 -0.30403 -0.58855  0.89470 -0.07099 -0.68490 -0.62051  0.83671   42004401
               -9               1               1              HB  0.59344 -0.22029  0.54838 -0.16409 -0.22109  0.45495 -0.43357  0.47428  0.06199  0.54281   42004481
              -10               1               1              HB  0.70372 -0.43588  0.49487 -0.39563 -0.09800  0.60136 -0.04966  0.21691 -0.36057  0.71290   42004501
              -11               1               1              HB  0.74097 -0.41562  0.63937 -0.47798 -0.22232  0.48496 -0.12423  0.09014  0.01965  0.69551   42004581
              -12               1               1              HB  0.74249  0.28529  0.68199  0.49560 -0.45800  0.65881 -0.31962  0.31425  0.05745  0.83466   42004601
              -13               1               1              HB  0.70698 -0.43570  0.47172 -0.80104  0.08099  0.67635 -0.31152  0.72502 -0.11338  0.75135   42004681
              -14               1               1              HB  0.49782 -0.00611  0.60176 -0.21606 -0.15904  0.60081 -0.17720  0.27626 -0.15923  0.60141   42004701
              -15               1               1              HB  0.51089 -0.35082  0.57106 -0.41271 -0.67702  0.74233 -0.25267 -0.28834 -0.37529  0.59070   42004781
              -15               1               2              HB  0.94326 -0.12857  0.57457 -0.32395 -0.63008  0.86591 -0.42880 -0.64850 -0.29933  0.96568   42008781
              -16               1               1              HB  0.68606  0.30309  0.55923 -0.63667 -0.28042  0.76700 -0.20372 -0.34417 -0.20338  0.37412   42004801
              -16               1               2              HB  0.61579 -0.11814  0.49221  0.41660  0.26404  0.38815  0.20334 -0.39539 -0.00297  0.51382   42008801
               -1               2               1              HB  0.79367 -0.63590  0.68693 -0.13388  0.15239  0.64579 -0.43609  0.44301 -0.33493  0.72508   42004082
               -2               2               1              HB  0.53474 -0.09460  0.89521  0.33537  0.05203  0.84449  0.11856  0.14395 -0.01592  0.75389   42004102
               -3               2               1              HB  0.45618 -0.11419  0.53332  0.37173 -0.02230  0.47100 -0.33198  0.01989 -0.05907  0.55730   42004182
