#             eta             phi             dep             det     cap0     cap1     cap2     cap3      DetId
               -1               1               1              HB  2.88289  2.14551  2.81917  2.74075   42004081
               -2               1               1              HB  3.58001  3.36826  3.92432  3.28254   42004101
               -3               1               1              HB  3.30672  3.38094  3.54374  3.16444   42004181
               -4               1               1              HB  2.89784  1.87061  2.68210  2.13624   42004201
               -5               1               1              HB  3.92167  3.65795  3.72660  3.47942   42004281
               -6               1               1              HB  3.13212  2.95476  3.61244  2.71095   42004301
               -7               1               1              HB  3.49036  3.40505  3.67460  3.48966   42004381
               -8               1               1              HB  3.50862  3.50234  3.99000  3.03482   42004401
               -9               1               1              HB  1.85341  2.71618  2.96596  2.07644   42004481
              -10               1               1              HB  3.13667  3.34051  3.61778  3.15706   42004501
              -11               1               1              HB  2.60138  2.48212  2.63388  2.61538   42004581
              -12               1               1              HB  2.10827  2.95871  2.93072  2.72285   42004601
              -13               1               1              HB  3.12377  2.80919  3.75006  3.40262   42004681
              -14               1               1              HB  3.48404  3.71310  3.79416  3.70181   42004701
              -15               1               1              HB  3.74468  3.32252  4.14355  3.38404   42004781
              -15               1               2              HB  2.89332  3.13328  3.16446  3.14718   42008781
              -16               1               1              HB  3.13143  3.68601  2.87506  2.65069   42004801
              -16               1               2              HB  3.75208  3.91950  4.27118  3.49213   42008801
               -1               2               1              HB  3.02190  2.57949  3.14190  2.00840   42004082
               -2               2               1              HB  4.69599  2.17998  4.34138  1.93188   42004102
               -3               2               1              HB  3.64474  3.15136  4.06612  2.88135   42004182
               -4               2               1              HB  1.69219  2.35827  2.00141  2.64193   42004202
               -5               2               1              HB  3.96964  2.51777  4.33583  2.89351   42004282
               -6               2               1              HB  2.46264  2.23411  2.36499  2.11344   42004302
               -7               2               1              HB  2.00938  2.52848  2.47674  2.39087   42004382
               -8               2               1              HB  2.96911  3.90469  3.67088  4.28213   42004402
               -9               2               1              HB  2.76699  3.48364  3.07518  3.46404   42004482
              -10               2               1              HB  3.32654  4.52524  3.29542  4.62009   42004502
              -11               2               1              HB  2.01478  2.84974  2.38633  3.00127   42004582
              -12               2               1              HB  2.44778  2.95274  2.08504  1.83554   42004602
              -13               2               1              HB  3.16926  2.79213  3.10827  2.77944   42004682
              -14               2               1              HB  3.94435  2.69268  4.05964  2.53448   42004702
              -15               2               1              HB  3.77415  2.64479  4.02887  3.10643   42004782
              -15               2               2              HB  2.36582  3.55231  3.04181  3.51829   42008782
              -16               2               1              HB  1.99744  3.80149  2.47093  3.65875   42004802
              -16               2               2              HB  3.47763  2.47558  3.67259  2.97043   42008802
               -1               3               1              HB  1.99161  2.77680  2.63779  2.31057   42004083
               -2               3               1              HB  3.95750  3.94973  4.37240  3.82859   42004103
               -3               3               1              HB  3.67219  3.72365  3.90095  3.80847   42004183
