#             eta             phi             dep             det  sig_0_o  sig_1_0  sig_1_1  sig_2_0  sig_2_1  sig_2_2  sig_3_0  sig_3_1  sig_3_2  sig_3_3      DetId
               -1               1               1              HB  0.50093 -0.19777  0.46993  0.00585 -0.18978  0.43307 -0.16475 -0.05046 -0.21558  0.53584   42004081
               -2               1               1              HB  0.59566 -0.18885  0.61879  0.05762 -0.19462  0.59918 -0.12923 -0.07624 -0.22687  0.64654   42004101
               -3               1               1              HB  0.60314 -0.23528  0.65538 -0.11627 -0.20035  0.62615 -0.25573 -0.09494 -0.19324  0.64105   42004181
               -4               1               1              HB  0.74094 -0.27891  0.67298 -0.08370 -0.22802  0.71867 -0.19504 -0.07047 -0.29348  0.70611   42004201
               -5               1               1              HB  0.58612 -0.23669  0.63165  0.13789 -0.15469  0.63544 -0.24214  0.00122 -0.24036  0.58023   42004281
               -6               1               1              HB  0.75497 -0.18869  0.74491 -0.04041 -0.21516  0.66137 -0.18852 -0.02363 -0.27646  0.73643   42004301
               -7               1               1              HB  0.56963  0.17899  0.56551  0.41225 -0.14140  0.61165  0.22598  0.09217 -0.19428  0.55575   42004381
               -8               1               1              HB  0.64144 -0.26302  0.71326  0.00562 -0.20063  0.66333 -0.19572 -0.02904 -0.14612  0.65798   42004401
               -9               1               1              HB  0.49120  0.59692  0.57337  0.88286 -0.20522  0.64359  0.26802 -0.01539 -0.19034  0.55035   42004481
              -10               1               1              HB  0.69840 -0.23576  0.69064  0.00614 -0.27638  0.70536 -0.19244 -0.03705 -0.21364  0.61219   42004501
              -11               1               1              HB  0.81809 -0.17103  0.65535 -0.02144 -0.20480  0.65891 -0.24930 -0.05800 -0.27271  0.70232   42004581
              -12               1               1              HB  0.69559 -0.17149  0.59982 -0.00787 -0.16717  0.62652 -0.20616 -0.10747 -0.24296  0.60629   42004601
              -13               1               1              HB  0.73915 -0.28953  0.75680  0.05122 -0.22182  0.75434 -0.25230  0.00369 -0.28915  0.68461   42004681
              -14               1               1              HB  0.61537 -0.25268  0.60490 -0.02162 -0.19714  0.61507 -0.18675  0.11273 -0.19222  0.52795   42004701
              -15               1               1              HB  0.65627 -0.25995  0.65247  0.04948 -0.18704  0.56705 -0.25035 -0.03365 -0.19259  0.60734   42004781
              -15               1               2              HB  0.76882 -0.29599  0.75275 -0.03536 -0.18193  0.70385 -0.20854  0.11440 -0.15476  0.66185   42008781
              -16               1               1              HB  0.56134  0.03848  0.62799  0.16280  0.00519  0.56539  0.03313  0.02888 -0.03155  0.56485   42004801
              -16               1               2              HB  0.74469 -0.37554  0.70832 -0.09213 -0.26449  0.66857 -0.20352 -0.04216 -0.23609  0.67818   42008801
               -1               2               1              HB  0.70024 -0.01617  0.61031  0.27867 -0.07936  0.64562 -0.04883 -0.03831 -0.07507  0.58038   42004082
               -2               2               1              HB  1.00124  0.61560  1.03771  0.21102 -0.46867  0.83703  0.48207 -0.05549 -0.32388  0.98377   42004102
               -3               2               1              HB  0.66069 -0.30217  0.62677 -0.00653 -0.21358  0.63369 -0.16412  0.06573 -0.23291  0.62161   42004182
               -4               2               1              HB  0.81152 -0.31269  0.79756 -0.14321 -0.28328  0.76286 -0.29469 -0.04105 -0.31103  0.73120   42004202
               -5               2               1              HB  0.60416 -0.18509  0.79926  0.00011 -0.21434  0.62652 -0.24449  0.14093 -0.22832  0.71162   42004282
               -6               2               1              HB  0.56193 -0.21453  0.55283 -0.10795 -0.28150  0.57518 -0.25491 -0.07332 -0.16422  0.57472   42004302
               -7               2               1              HB  0.69467 -0.26753  0.87048 -0.03517 -0.31895  0.73493 -0.21559 -0.01203 -0.17670  0.59526   42004382
