#             eta             phi             dep             det     cap0     cap1     cap2     cap3      DetId
               -1               6               1              HB  3.69276  4.61917  3.08659  3.67765   42004086
               -2               6               1              HB  1.45045  2.03040  1.61640  1.39552   42004106
               -3               6               1              HB  3.39246  3.80920  3.60705  3.91526   42004186
               -4               6               1              HB  2.37486  2.87269  2.87472  2.66397   42004206
               -5               6               1              HB  2.88790  2.91887  3.30214  2.81214   42004286
               -6               6               1              HB  3.68522  4.63856  4.46189  4.06794   42004306
               -7               6               1              HB  3.17219  3.92834  3.89722  3.31988   42004386
               -8               6               1              HB  2.38804  2.90132  2.80010  2.81304   42004406
               -9               6               1              HB  3.37458  4.09366  4.55125  3.99115   42004486
              -10               6               1              HB  1.78463  2.22804  2.26490  1.74155   42004506
              -11               6               1              HB  2.65633  3.14238  2.98157  2.34054   42004586
              -12               6               1              HB  3.29080  3.19225  4.00868  3.05246   42004606
              -13               6               1              HB  1.52482  2.33702  2.74207  1.53375   42004686
              -14               6               1              HB  2.05292  2.93642  2.92262  2.13907   42004706
              -15               6               1              HB  1.85335  3.29938  2.37452  2.58628   42004786
              -15               6               2              HB  3.23714  3.14884  3.39610  3.66771   42008786
              -16               6               1              HB  1.95784  2.25759  2.47585  1.97915   42004806
              -16               6               2              HB  3.46024  3.99114  2.95025  3.15636   42008806
               -1               7               1              HB  1.28535  1.39272  1.61028  1.35169   42004087
               -2               7               1              HB  2.50876  2.67485  2.74284  2.14517   42004107
               -3               7               1              HB  3.71825  3.99566  3.92389  3.96008   42004187
               -4               7               1              HB  3.42375  3.85550  4.14666  3.65065   42004207
               -5               7               1              HB  4.05559  4.29048  4.11433  3.89627   42004287
               -6               7               1              HB  3.31007  3.44504  3.55856  3.27864   42004307
               -7               7               1              HB  2.80391  3.07468  3.09286  3.05627   42004387
               -8               7               1              HB  1.98762  2.50727  2.14634  2.41802   42004407
               -9               7               1              HB  4.40527  4.47696  4.80323  5.10533   42004487
              -10               7               1              HB  2.00697  2.18554  2.33852  2.23759   42004507
              -11               7               1              HB  3.60383  3.79678  4.07936  3.73740   42004587
              -12               7               1              HB  2.78067  1.87432  2.63667  2.09558   42004607
              -13               7               1              HB  4.13177  3.70155  4.11045  3.35329   42004687
              -14               7               1              HB  3.95899  4.08073  4.19851  3.87616   42004707
              -15               7               1              HB  3.85607  3.27211  3.71797  3.56812   42004787
              -15               7               2              HB  2.86093  3.06837  3.30219  2.97656   42008787
              -16               7               1              HB  2.22631  3.02384  2.97993  2.97186   42004807
              -16               7               2              HB  3.62946  3.54682  3.73696  3.25786   42008807
               -1               8               1              HB  2.29218  3.25474  2.27957  3.38634   42004088
               -2               8               1              HB  4.04067  3.97790  4.15362  3.86748   42004108
               -3               8               1              HB  4.48790  4.89565  4.66691  4.55379   42004188
               -4               8               1              HB  2.50158  3.31720  3.12913  3.02469   42004208
               -5               8               1              HB  4.00056  5.33434  4.86732  5.11677   42004288
               -6               8               1              HB  2.52146  2.65457  2.92784  2.63262   42004308
               -7               8               1              HB  2.90426  2.98538  3.23928  2.89776   42004388
               -8               8               1              HB  3.03486  2.91193  2.90015  2.64446   42004408
               -9               8               1              HB  3.13961  2.10124  2.98609  2.42710   42004488
              -10               8               1              HB  4.00213  4.25357  4.31064  4.10357   42004508
              -11               8               1              HB  4.10618  4.45991  4.54709  4.69979   42004588
              -12               8               1              HB  2.75182  2.54186  2.95461  2.66901   42004608
              -13               8               1              HB  2.14789  2.61036  2.05034  3.01746   42004688
              -14               8               1              HB  3.38757  3.15894  3.50068  3.21404   42004708
              -15               8               1              HB  4.15177  4.81430  4.28563  4.82994   42004788
              -15               8               2              HB  3.11786  3.52567  3.37155  3.53828   42008788
              -16               8               1              HB  2.71283  2.71776  3.32934  2.64331   42004808
              -16               8               2              HB  2.95757  3.45206  3.34042  3.41032   42008808
               -1               9               1              HB  2.57143  3.22619  3.05817  3.38904   42004089
               -2               9               1              HB  4.03835  3.48053  3.94119  3.35351   42004109
               -3               9               1              HB  3.73011  3.77200  3.97640  3.71215   42004189
               -4               9               1              HB  4.61218  5.09114  4.87704  4.87512   42004209
               -5               9               1              HB  3.08047  3.04577  2.96105  2.69354   42004289
               -6               9               1              HB  2.98914  2.99028  3.21791  2.99985   42004309
               -7               9               1              HB  3.18056  3.22377  3.40140  3.25424   42004389
               -8               9               1              HB  2.53779  2.90331  3.07679  2.64668   42004409
               -9               9               1              HB  3.45823  3.38420  3.44440  3.58745   42004489
              -10               9               1              HB  3.99279  3.70033  4.35739  3.66925   42004509
              -11               9               1              HB  3.75947  3.68401  3.89148  3.92145   42004589
              -12               9               1              HB  2.50155  1.67307  2.02496  1.89377   42004609
              -13               9               1              HB  2.70020  2.90610  3.37624  2.68850   42004689
              -14               9               1              HB  3.79345  3.95668  4.19613  3.89741   42004709
              -15               9               1              HB  4.28765  3.63773  3.79464  4.02700   42004789
              -15               9               2              HB  3.09166  3.29645  3.37381  3.06330   42008789
              -16               9               1              HB  3.87012  3.07663  3.92735  3.06013   42004809
              -16               9               2              HB  3.82429  3.48550  4.02184  3.45890   42008809
               -1              10               1              HB  3.67501  3.89260  4.21828  4.45169   4200408A
               -2              10               1              HB  2.38666  3.34342  3.07408  3.27825   4200410A
               -3              10               1              HB  3.58816  3.88513  3.70860  3.69317   4200418A
               -4              10               1              HB  1.40960  1.03519  1.63160  1.00095   4200420A
               -5              10               1              HB  3.59804  3.49066  3.50014  2.95776   4200428A
               -6              10               1              HB  2.30594  3.10986  3.16558  3.22741   4200430A
               -7              10               1              HB  3.53973  4.01906  3.97273  3.91091   4200438A
               -8              10               1              HB  2.72552  3.07904  3.46175  2.81174   4200440A
               -9              10               1              HB  3.81857  4.55976  4.22226  4.61785   4200448A
              -10              10               1              HB  2.80865  3.41868  3.99615  3.86386   4200450A
              -11              10               1              HB  3.13034  3.35706  3.51284  3.40520   4200458A
              -12              10               1              HB  2.34536  2.69554  3.18798  3.10768   4200460A
              -13              10               1              HB  1.95183  2.30406  2.42444  2.13098   4200468A
              -14              10               1              HB  4.02051  4.09397  4.38594  4.12505   4200470A
              -15              10               1              HB  5.12202  4.77708  5.29131  5.36493   4200478A
              -15              10               2              HB  2.49574  2.93708  2.94124  2.83460   4200878A
              -16              10               1              HB  2.25302  2.31863  2.21951  1.58410   4200480A
              -16              10               2              HB  3.81933  3.95748  3.99023  3.77038   4200880A
               -1              11               1              HB  1.37680  1.18220  1.76733  1.26850   4200408B
               -2              11               1              HB  2.84415  3.47919  3.44888  3.34681   4200410B
               -3              11               1              HB  2.98771  2.90491  3.12055  2.85571   4200418B
               -4              11               1              HB  3.50016  3.46971  3.94815  2.94749   4200420B
               -5              11               1              HB  3.88110  3.61655  3.79504  3.52228   4200428B
               -6              11               1              HB  2.91794  3.97611  3.66746  3.76478   4200430B
               -7              11               1              HB  1.22447  1.39033  1.35690  1.50595   4200438B
               -8              11               1              HB  3.33939  3.29944  3.48044  3.76917   4200440B
               -9              11               1              HB  0.69412  1.46576  1.05300  1.18847   4200448B
              -10              11               1              HB  2.92720  3.22997  3.41358  3.23200   4200450B
              -11              11               1              HB  3.55461  3.76163  3.83384  3.74999   4200458B
              -12              11               1              HB  2.51378  2.14943  3.34119  1.91865   4200460B
              -13              11               1              HB  2.39955  1.76563  2.56337  1.53198   4200468B
              -14              11               1              HB  3.09362  2.82502  3.28542  2.83554   4200470B
              -15              11               1              HB  3.48244  3.81966  3.69459  3.68742   4200478B
              -15              11               2              HB  3.10633  3.30893  3.45279  3.33314   4200878B
              -16              11               1              HB  2.88922  3.20688  3.13824  3.25229   4200480B
              -16              11               2              HB  4.45874  2.72477  4.29772  2.16464   4200880B
               -1              12               1              HB  0.99079  1.81376  1.90151  2.08418   4200408C
               -2              12               1              HB  3.87041  4.05774  4.16899  4.01804   4200410C
               -3              12               1              HB  3.92866  4.20760  4.27862  4.10439   4200418C
               -4              12               1              HB  1.42134  1.40713  2.06919  1.61824   4200420C
               -5              12               1              HB  4.58430  3.92152  4.56147  3.85408   4200428C
               -6              12               1              HB  3.15159  2.96241  3.38999  3.07563   4200430C
               -7              12               1              HB  3.23551  2.93792  3.48195  3.00027   4200438C
               -8              12               1              HB  4.67188  4.58590  3.63606  4.12778   4200440C
               -9              12               1              HB  4.26982  4.32219  3.96073  4.31278   4200448C
              -10              12               1              HB  4.14445  3.52168  4.28309  3.55032   4200450C
              -11              12               1              HB  3.90522  3.52597  4.14225  3.40673   4200458C
              -12              12               1              HB  3.63920  3.88885  4.58605  3.82024   4200460C
              -13              12               1              HB  2.13232  2.38197  2.04742  2.53452   4200468C
              -14              12               1              HB  2.46658  3.96447  2.42043  3.98733   4200470C
              -15              12               1              HB  3.06968  3.16773  2.88337  3.54538   4200478C
              -15              12               2              HB  2.47139  3.21631  2.51424  3.61664   4200878C
              -16              12               1              HB  2.26095  3.02178  3.01158  2.79728   4200480C
              -16              12               2              HB  2.99801  3.74992  3.18754  3.94234   4200880C
               -1              13               1              HB  1.87072  2.12449  2.48013  3.30050   4200408D
               -2              13               1              HB  3.41858  3.64645  3.67188  3.62769   4200410D
               -3              13               1              HB  3.93581  4.06660  4.09698  4.03496   4200418D
               -4              13               1              HB  2.37322  2.96279  2.80437  2.89750   4200420D
               -5              13               1              HB  4.39455  4.15214  3.16160  2.97384   4200428D
               -6              13               1              HB  3.66754  3.76498  4.01706  3.75074   4200430D
               -7              13               1              HB  3.10445  3.33178  3.47032  3.38712   4200438D
               -8              13               1              HB  4.20394  3.75462  3.73531  3.50448   4200440D
               -9              13               1              HB  3.09781  3.31882  4.05411  3.25487   4200448D
              -10              13               1              HB  3.86792  3.78891  4.07261  3.52118   4200450D
              -11              13               1              HB  3.56409  3.95218  4.24478  4.04099   4200458D
              -12              13               1              HB  3.62503  3.85971  4.02130  4.27309   4200460D
              -13              13               1              HB  3.21313  3.26471  3.48068  3.47659   4200468D
              -14              13               1              HB  3.91482  3.91399  4.19034  3.90412   4200470D
              -15              13               1              HB  3.69293  4.16752  3.94308  3.74504   4200478D
              -15              13               2              HB  3.14078  3.31773  3.49828  3.14686   4200878D
              -16              13               1              HB  2.12544  2.33393  2.16657  2.42325   4200480D
              -16              13               2              HB  3.87222  3.85518  3.85118  3.77616   4200880D
               -1              14               1              HB  2.12292  2.96319  2.67754  3.13100   4200408E
               -2              14               1              HB  3.99136  4.59376  4.31776  4.35791   4200410E
               -3              14               1              HB  3.77142  3.97429  3.95709  3.90819   4200418E
               -4              14               1              HB  2.29786  3.03119  2.07204  2.44985   4200420E
               -5              14               1              HB  3.77693  5.34459  4.90900  4.18394   4200428E
               -6              14               1              HB  2.30854  3.67174  3.08052  3.30598   4200430E
               -7              14               1              HB  3.07741  3.35162  3.36816  3.42868   4200438E
               -8              14               1              HB  3.66807  3.46665  4.71661  4.25096   4200440E
               -9              14               1              HB  3.69538  2.20901  3.25441  3.44757   4200448E
              -10              14               1              HB  2.49213  4.56467  3.62344  4.23549   4200450E
              -11              14               1              HB  3.47974  3.78258  3.84845  3.82099   4200458E
              -12              14               1              HB  3.70808  4.61853  3.84770  4.30341   4200460E
              -13              14               1              HB  3.13560  3.54967  3.91440  3.15467   4200468E
              -14              14               1              HB  3.61265  4.00275  4.16454  3.90300   4200470E
              -15              14               1              HB  4.02479  3.75846  4.25326  4.46515   4200478E
              -15              14               2              HB  3.01125  3.32914  3.47965  3.28820   4200878E
              -16              14               1              HB  2.66678  3.13237  2.40301  2.78423   4200480E
              -16              14               2              HB  3.77634  3.95607  4.11654  3.82898   4200880E
               -1              15               1              HB  3.25111  3.73110  2.89467  2.76293   4200408F
               -2              15               1              HB  3.83512  4.02091  3.71132  3.85525   4200410F
               -3              15               1              HB  3.13280  3.41333  3.65244  3.63909   4200418F
               -4              15               1              HB  2.32053  2.34964  2.67027  2.36185   4200420F
               -5              15               1              HB  4.35551  3.95684  3.94865  4.19794   4200428F
               -6              15               1              HB  1.66170  2.20762  1.96721  2.08010   4200430F
               -7              15               1              HB  2.70719  2.84804  2.85836  2.70749   4200438F
               -8              15               1              HB  2.85118  3.72339  3.07330  3.16637   4200440F
               -9              15               1              HB  0.96068  1.28881  2.00783  1.39241   4200448F
              -10              15               1              HB  3.51724  3.56673  3.65633  3.55098   4200450F
              -11              15               1              HB  3.63032  3.53566  3.71250  3.35922   4200458F
              -12              15               1              HB  1.48657  1.43132  2.01588  1.66943   4200460F
              -13              15               1              HB  2.60110  2.52073  2.93176  2.76901   4200468F
              -14              15               1              HB  5.11137  5.54736  5.50995  5.12693   4200470F
              -15              15               1              HB  5.46832  5.52801  5.13838  5.16718   4200478F
              -15              15               2              HB  2.34509  2.50945  2.79976  2.46597   4200878F
              -16              15               1              HB  3.33051  3.81275  3.66243  3.71151   4200480F
              -16              15               2              HB  5.28922  5.10354  5.38759  4.95589   4200880F
               -1              16               1              HB  0.90431  1.52361  0.73468  1.17789   42004090
               -2              16               1              HB  4.10806  4.38634  4.43344  4.31931   42004110
               -3              16               1              HB  2.74728  3.23759  3.27994  2.97584   42004190
               -4              16               1              HB  2.83609  2.73349  3.06524  3.10056   42004210
               -5              16               1              HB  2.85201  2.64282  3.66549  3.69196   42004290
               -6              16               1              HB  3.05121  3.20267  3.42785  3.14995   42004310
               -7              16               1              HB  3.14887  3.21271  3.50843  3.20487   42004390
               -8              16               1              HB  4.03397  4.85478  4.36883  4.00811   42004410
               -9              16               1              HB  3.32852  3.39221  3.49110  3.12857   42004490
              -10              16               1              HB  3.87252  3.97063  4.02180  3.89973   42004510
              -11              16               1              HB  2.67455  2.78030  3.05916  2.79918   42004590
              -12              16               1              HB  3.47031  3.52411  4.01560  3.20387   42004610
              -13              16               1              HB  2.36765  2.51130  2.54888  2.49876   42004690
              -14              16               1              HB  3.23532  3.41232  3.36925  3.29193   42004710
              -15              16               1              HB  3.54028  4.24698  3.65594  4.30228   42004790
              -15              16               2              HB  3.82839  3.97628  4.10995  4.01414   42008790
              -16              16               1              HB  4.65558  4.36975  4.91697  4.27613   42004810
